Attribute[TTC],Attribute[DTO],Attribute[Jerk],speed1,speed2,speed3,speed4,speed5,speed6,av1x,av1y,av1z,av2x,av2y,av2z,av3x,av3y,av3z,av4x,av4y,av4z,av5x,av5y,av5z,av6x,av6y,av6z,Predicted[COL],Attribute[COL]
3.053,13.4387,2.641,0.0,0.0,1.794,4.572,4.486,4.402,0.0,0.0,0.0,-0.0,0.0,-0.0,0.004,-0.0,0.004,-0.003,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.154,13.7511,2.641,0.0,0.0,1.794,4.572,4.486,4.402,0.0,0.0,0.0,-0.0,0.0,-0.0,0.004,-0.0,0.004,-0.003,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.261,14.0841,0.744,0.044,0.0,4.223,4.529,4.444,4.36,0.0,0.0,0.0,0.0,-0.0,-0.0,0.001,-0.0,0.001,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
3.047,14.4143,2.642,0.0,1.794,4.572,4.486,4.402,4.319,-0.0,0.0,-0.0,0.004,-0.0,0.004,-0.003,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
1.867,13.8577,1.016,0.0,4.223,4.529,4.444,4.36,4.73,0.0,-0.0,-0.0,0.001,-0.0,0.001,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.011,-0.0,0.012,0.0,0.0
1.701,12.6255,4.105,1.794,4.572,4.486,4.402,4.319,7.423,0.004,-0.0,0.004,-0.003,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,-0.0,0.0,0.0
1.558,11.4475,2.783,4.223,4.529,4.444,4.36,4.73,7.421,0.001,-0.0,0.001,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.011,-0.0,0.012,-0.002,0.0,-0.002,0.0,0.0
1.414,10.2834,2.957,4.572,4.486,4.402,4.319,7.423,7.346,-0.003,0.0,-0.003,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,0.0,0.0
1.274,9.1709,2.361,4.529,4.444,4.36,4.73,7.421,7.272,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.011,-0.0,0.012,-0.002,0.0,-0.002,0.0,0.0,-0.0,0.0,0.0
1.134,8.0828,1.571,4.486,4.402,4.319,7.423,7.346,7.199,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.997,7.036,2.1,4.444,4.36,4.73,7.421,7.272,7.127,-0.0,0.0,0.0,-0.0,0.0,0.0,0.011,-0.0,0.012,-0.002,0.0,-0.002,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.864,6.0341,1.571,4.402,4.319,7.423,7.346,7.199,7.055,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.731,5.0582,2.101,4.36,4.73,7.421,7.272,7.127,6.985,-0.0,0.0,0.0,0.011,-0.0,0.012,-0.002,0.0,-0.002,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0
0.601,4.1176,1.571,4.319,7.423,7.346,7.199,7.055,6.915,-0.0,0.0,0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0
0.473,3.2084,2.101,4.73,7.421,7.272,7.127,6.985,6.846,0.011,-0.0,0.012,-0.002,0.0,-0.002,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.749,2.8767,1.571,7.423,7.346,7.199,7.055,6.915,6.777,-0.0,-0.001,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1.232,3.7965,3.712,7.421,7.272,7.127,6.985,6.846,3.84,-0.002,0.0,-0.002,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,-0.007,0.0,0.0
1.56,4.7648,1.502,7.346,7.199,7.055,6.915,6.777,3.082,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0
1.807,5.4691,2.402,7.272,7.127,6.985,6.846,3.84,3.054,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,-0.007,0.0,0.0,0.0,1.0,0.0
1.307,5.0366,1.453,7.199,7.055,6.915,6.777,3.082,3.026,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,1.0,0.0
0.922,4.3153,2.971,7.127,6.985,6.846,3.84,3.054,3.853,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,-0.007,0.0,0.0,0.0,-0.003,0.0,-0.004,0.0,0.0
0.69,3.2188,1.454,7.055,6.915,6.777,3.082,3.026,4.682,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.011,-0.0,0.011,1.0,0.0
0.612,2.2169,3.535,6.985,6.846,3.84,3.054,3.853,4.664,-0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.001,-0.007,0.0,0.0,0.0,-0.003,0.0,-0.004,-0.001,0.0,-0.001,1.0,0.0
50.0,2.6296,2.137,6.915,6.777,3.082,3.026,4.682,3.621,0.0,0.0,-0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.011,-0.0,0.011,-0.018,0.001,-0.019,1.0,0.0
50.0,3.6565,5.045,6.846,3.84,3.054,3.853,4.664,0.312,0.0,0.0,0.0,-0.007,0.001,-0.007,0.0,0.0,0.0,-0.003,0.0,-0.004,-0.001,0.0,-0.001,0.015,0.0,0.015,1.0,0.0
3.193,4.3508,4.667,6.777,3.082,3.026,4.682,3.621,0.797,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.011,-0.0,0.011,-0.018,0.001,-0.019,0.001,0.0,0.001,1.0,0.0
3.632,4.9059,5.098,3.84,3.054,3.853,4.664,0.312,1.363,-0.007,0.001,-0.007,0.0,0.0,0.0,-0.003,0.0,-0.004,-0.001,0.0,-0.001,0.015,0.0,0.015,-0.004,0.0,-0.004,1.0,0.0
