Time,TTC,DTO,JERK,Speed,asX,asY,asZ,COL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,50.0,100.0,7.024,1.756,0.004,-0.0,0.004,0
1.0,50.0,100.0,2.668,4.179,0.001,-0.0,0.001,0
1.5,50.0,100.0,0.368,6.51,0.016,-0.152,-0.004,0
2.0,50.0,100.0,1.828,9.298,0.001,-0.001,-0.0,0
2.5,50.0,100.0,0.44,12.196,0.0,-0.001,0.0,0
3.0,50.0,100.0,0.092,15.117,0.0,-0.001,0.0,0
3.5,50.0,100.0,11.992,15.04,-0.002,0.0,-0.003,0
4.0,50.0,100.0,0.42,14.858,-0.0,0.0,-0.0,0
4.5,50.0,100.0,0.052,14.663,0.03,0.242,-0.027,0
5.0,50.0,100.0,0.072,14.486,-0.007,0.002,0.006,0
5.5,50.0,100.0,1.672,14.727,0.009,-0.001,0.013,0
6.0,50.0,100.0,9.8,17.418,0.002,-0.001,0.002,0
6.5,50.0,100.0,11.168,17.317,-0.002,0.0,-0.003,0
7.0,50.0,100.0,0.496,17.092,-0.001,0.014,0.001,0
7.5,50.0,100.0,6.028,18.374,-0.002,-0.001,0.004,0
8.0,50.0,100.0,5.884,18.185,-0.001,0.0,-0.001,0
8.5,50.0,100.0,0.156,17.957,-0.0,0.0,-0.0,0
9.0,50.0,100.0,0.008,17.731,0.0,0.0,-0.0,0
9.5,50.0,100.0,0.024,17.511,-0.0,0.0,0.0,0
10.0,50.0,100.0,0.336,17.375,0.004,-0.0,0.004,0
10.5,50.0,100.0,4.368,18.331,-0.007,-0.0,-0.007,0
11.0,50.0,100.0,4.752,18.099,-0.0,0.0,-0.0,0
11.5,0.341,40.5738,0.116,17.838,-0.001,0.031,0.002,0
12.0,2.259,33.2217,0.148,17.614,-0.006,0.001,0.006,0
12.5,1.663,25.5416,0.02,17.395,-0.001,0.0,0.001,0
13.0,1.063,17.3707,0.02,17.181,-0.0,0.0,0.0,0
13.5,0.528,8.9237,0.004,16.968,-0.0,0.0,-0.0,0
14.0,0.039,0.6425,0.012,16.758,0.0,0.0,-0.0,0
14.5,0.511,0.3247,63.02,0.793,-0.103,-0.0,-0.067,1
17.0,50.0,3.146,0.736,0.396,-0.003,-0.058,0.006,0
17.5,50.0,100.0,7.408,2.006,-0.002,-0.336,0.006,0
18.0,3.834,88.464,3.568,4.508,0.008,-0.172,-0.004,0
18.5,14.297,85.4748,2.152,6.472,-0.011,0.001,-0.011,0
19.0,50.0,100.0,0.34,8.521,0.036,0.645,-0.022,0
19.5,50.0,100.0,0.648,10.408,-0.028,0.005,0.003,0
20.0,50.0,100.0,1.284,11.974,0.006,-0.001,0.008,0
20.5,50.0,100.0,4.312,14.618,-0.001,0.055,0.005,0
21.0,50.0,100.0,7.904,15.286,-0.01,0.0,0.0,0
21.5,0.282,36.0915,3.404,15.103,-0.001,-0.0,0.0,0
22.0,4.544,32.5135,0.016,14.924,0.0,-0.0,-0.0,0
22.5,0.292,11.9987,0.176,14.701,-0.038,-0.382,0.035,0
23.0,3.44,10.4762,0.164,14.519,0.013,-0.003,-0.011,0
23.5,8.081,9.8658,0.032,14.345,0.001,0.006,-0.001,0
24.0,20.054,9.6258,0.056,14.157,-0.005,0.02,0.005,0
24.5,1.29,6.9374,0.784,14.165,0.004,-0.0,0.011,0
25.0,0.439,3.2446,0.664,14.007,-0.014,-0.267,0.012,0
25.5,0.129,0.6652,53.248,0.537,0.0,0.0,-0.04,1
28.5,50.0,2.8498,0.716,0.0,0.001,0.0,0.001,0
29.0,50.0,3.026,0.72,0.0,0.0,0.0,0.0,0
29.5,50.0,3.1883,0.0,0.0,0.0,0.0,-0.0,0
30.0,50.0,3.3608,0.0,0.0,0.0,-0.0,0.0,0
30.5,50.0,3.5249,0.0,0.0,-0.0,-0.0,-0.0,0
