Time,TTC,DTO,JERK,Speed,asX,asY,asZ,COL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,50.0,6.153,3.232,0.808,0.002,-0.0,0.002,0
1.0,50.0,8.0044,1.248,1.928,0.0,-0.0,0.0,0
1.5,50.0,10.191,0.272,3.116,0.0,-0.0,0.0,0
2.0,50.0,12.161,0.252,4.367,0.0,-0.0,0.0,0
2.5,50.0,13.6117,0.376,5.712,0.003,-0.0,0.003,0
3.0,50.0,14.4238,0.004,7.056,0.002,-0.0,0.002,0
3.5,50.0,14.5594,0.036,8.409,0.0,-0.0,0.0,0
4.0,12.476,13.9984,0.164,9.803,0.0,-0.0,0.0,0
4.5,5.132,12.7556,0.036,11.206,0.0,-0.001,0.0,0
5.0,2.751,10.7941,0.008,12.611,0.0,-0.001,0.0,0
5.5,1.539,8.147,0.028,14.009,-0.0,-0.001,0.0,0
6.0,0.731,4.8385,0.112,15.379,-0.0,-0.001,-0.0,0
6.5,0.127,0.9773,1.292,16.426,-0.001,-0.001,-0.001,0
7.0,50.0,2.1191,65.304,1.147,0.006,-0.002,0.005,1
0.5,50.0,95.257,0.176,0.044,0.0,0.0,0.0,0
1.0,50.0,95.237,0.352,0.0,-0.0,0.0,-0.0,0
1.5,50.0,94.8839,7.72,1.886,0.003,-0.0,0.004,0
2.0,50.0,94.0424,2.212,4.325,0.001,-0.0,0.001,0
2.5,17.704,91.4594,1.096,7.038,0.003,-0.001,0.003,0
3.0,10.612,87.3441,0.388,9.848,0.0,-0.001,0.0,0
3.5,50.0,100.0,0.384,12.754,0.0,-0.001,0.0,0
4.0,50.0,100.0,0.056,15.674,0.0,-0.001,0.0,0
4.5,50.0,100.0,0.204,18.543,-0.001,-0.002,-0.001,0
5.0,0.665,57.0813,12.324,18.331,-0.002,0.0,-0.002,0
5.5,2.211,46.5547,0.072,18.101,-0.0,0.0,-0.0,0
6.0,2.08,37.5324,0.008,17.873,0.0,0.0,-0.0,0
6.5,1.628,28.7144,0.008,17.647,-0.0,0.0,0.0,0
7.0,1.131,19.9132,0.028,17.428,0.0,0.0,0.0,0
7.5,0.654,11.2832,0.016,17.213,-0.0,0.0,0.0,0
8.0,0.167,2.8193,0.012,17.001,0.0,0.0,0.0,0
8.5,0.376,1.2106,57.7,2.364,0.008,-0.0,0.01,1
