Time,TTC,DTO,JERK,Speed,asX,asY,asZ,COL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,50.0,6.3329,0.176,0.044,0.0,0.0,0.0,0
1.0,50.0,8.766,3.188,0.885,0.005,-0.0,0.005,0
1.5,50.0,11.1988,5.868,3.193,0.001,-0.0,0.001,0
2.0,50.0,12.8028,1.012,5.754,-0.001,-0.002,-0.001,0
2.5,50.0,13.1697,0.992,8.563,0.0,-0.001,0.0,0
3.0,9.032,12.4789,7.604,9.471,-0.005,0.0,-0.006,0
3.5,8.249,11.7657,4.032,9.371,-0.0,0.0,-0.0,0
4.0,8.348,11.1008,0.008,9.273,-0.0,0.0,-0.0,0
4.5,8.677,10.496,0.004,9.174,0.0,0.0,0.0,0
5.0,8.818,9.9328,0.012,9.078,-0.0,0.0,-0.0,0
5.5,9.564,9.4393,0.0,8.982,-0.0,0.0,0.0,0
6.0,9.825,8.9822,0.008,8.888,-0.0,0.0,-0.0,0
6.5,9.64,8.5393,0.004,8.795,0.0,0.0,-0.0,0
7.0,11.337,8.1786,0.004,8.703,-0.0,0.0,0.0,0
7.5,11.692,7.8432,0.008,8.613,0.0,0.0,0.0,0
8.0,13.246,7.5579,0.004,8.522,0.0,0.0,-0.0,0
8.5,17.192,7.3443,0.012,8.434,0.0,0.0,-0.0,0
9.0,5.584,6.7407,0.004,8.347,-0.0,0.0,0.0,0
9.5,1.199,4.7572,0.004,8.261,-0.0,0.0,0.0,0
10.0,0.652,2.693,0.004,8.176,-0.0,0.0,0.0,0
10.5,0.184,0.7249,0.004,8.092,-0.0,0.0,0.0,0
11.0,50.0,0.6872,31.644,0.097,0.006,-0.0,0.002,1
0.5,50.0,75.3047,0.176,0.044,0.0,0.0,0.0,0
1.0,50.0,75.3013,0.352,0.0,-0.0,0.0,-0.0,0
1.5,50.0,76.0735,7.72,1.886,0.003,-0.0,0.004,0
2.0,50.0,100.0,2.212,4.325,0.001,-0.0,0.001,0
2.5,50.0,100.0,1.096,7.038,0.003,-0.001,0.003,0
3.0,50.0,100.0,0.376,9.845,0.0,-0.001,0.0,0
3.5,50.0,100.0,0.396,12.751,0.0,-0.001,0.0,0
4.0,50.0,100.0,7.684,13.736,-0.006,-0.0,-0.007,0
4.5,0.444,47.0082,4.572,13.578,-0.0,0.0,-0.0,0
5.0,2.931,40.158,0.008,13.422,-0.0,0.0,-0.0,0
5.5,2.525,33.5214,0.0,13.266,-0.0,0.0,0.0,0
6.0,2.042,26.9272,0.02,13.115,-0.0,0.0,0.0,0
6.5,1.56,20.3901,0.004,12.965,-0.0,0.0,0.0,0
7.0,1.089,13.9748,0.012,12.818,0.0,0.0,-0.0,0
7.5,0.603,7.6397,0.0,12.671,-0.0,0.0,-0.0,0
8.0,0.119,1.4712,0.008,12.526,-0.0,0.0,0.0,0
8.5,0.24,0.4776,48.844,0.17,0.009,0.0,0.01,1
