Time,TTC,DTO,JERK,Speed,asX,asY,asZ,COL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5,50.0,6.153,3.232,0.808,0.002,-0.0,0.002,0
1.0,50.0,8.0044,1.248,1.928,0.0,-0.0,0.0,0
1.5,50.0,10.191,0.272,3.116,0.0,-0.0,0.0,0
2.0,50.0,12.161,0.252,4.367,0.0,-0.0,0.0,0
2.5,50.0,13.6117,0.376,5.712,0.003,-0.0,0.003,0
3.0,50.0,14.4238,0.004,7.056,0.002,-0.0,0.002,0
3.5,50.0,14.5594,0.036,8.409,0.0,-0.0,0.0,0
4.0,12.476,13.9984,0.164,9.803,0.0,-0.0,0.0,0
4.5,5.132,12.7556,0.036,11.206,0.0,-0.001,0.0,0
5.0,2.751,10.7941,0.008,12.611,0.0,-0.001,0.0,0
5.5,1.539,8.147,0.028,14.009,-0.0,-0.001,0.0,0
6.0,0.731,4.8385,0.112,15.379,-0.0,-0.001,-0.0,0
6.5,0.127,0.9773,1.292,16.426,-0.001,-0.001,-0.001,0
7.0,50.0,2.1191,65.304,1.147,0.006,-0.002,0.005,1
7.5,50.0,2.7401,57.1,0.143,-0.0,0.001,-0.0,1
8.0,50.0,2.8218,6.644,0.8,0.001,-0.0,0.001,0
8.5,2.701,2.3811,1.856,1.921,0.0,-0.0,0.0,0
9.0,0.704,1.3924,0.264,3.108,0.0,-0.0,0.0,0
9.5,0.152,0.325,7.372,2.452,0.002,-0.001,0.002,1
10.0,50.0,0.3274,5.052,3.059,0.001,-0.001,0.001,1
10.5,50.0,0.3277,0.06,3.681,0.0,-0.001,0.0,0
