,speed1,speed2,speed3,speed4,speed5,speed6,ScenarioID,road,reward,scenario,strategy
0_scenario_0|road1|dto|rain_day|greedy,0.25,0.049,1.932,3.753,5.989,7.349,0_scenario_0,road1,dto,rain_day,greedy
0_scenario_1|road1|dto|rain_day|greedy,8.287,8.41,8.767,8.871,8.998,9.143,0_scenario_1,road1,dto,rain_day,greedy
0_scenario_10|road1|dto|rain_day|greedy,4.096,3.067,4.165,3.018,1.954,1.452,0_scenario_10,road1,dto,rain_day,greedy
0_scenario_11|road1|dto|rain_day|greedy,3.469,4.427,5.288,6.688,6.846,6.573,0_scenario_11,road1,dto,rain_day,greedy
0_scenario_12|road1|dto|rain_day|greedy,5.888,4.864,4.589,3.943,4.199,3.441,0_scenario_12,road1,dto,rain_day,greedy
0_scenario_13|road1|dto|rain_day|greedy,2.127,1.406,2.575,1.676,2.062,1.452,0_scenario_13,road1,dto,rain_day,greedy
0_scenario_14|road1|dto|rain_day|greedy,0.002,1.524,2.584,2.894,2.723,2.138,0_scenario_14,road1,dto,rain_day,greedy
0_scenario_15|road1|dto|rain_day|greedy,1.895,1.356,2.175,1.631,1.31,1.064,0_scenario_15,road1,dto,rain_day,greedy
0_scenario_16|road1|dto|rain_day|greedy,1.199,0.99,0.674,1.384,2.345,1.485,0_scenario_16,road1,dto,rain_day,greedy
0_scenario_2|road1|dto|rain_day|greedy,9.273,9.529,8.57,7.314,5.768,4.669,0_scenario_2,road1,dto,rain_day,greedy
0_scenario_3|road1|dto|rain_day|greedy,3.575,2.697,1.978,1.59,1.257,1.01,0_scenario_3,road1,dto,rain_day,greedy
0_scenario_4|road1|dto|rain_day|greedy,0.777,0.009,1.812,4.015,5.514,5.877,0_scenario_4,road1,dto,rain_day,greedy
0_scenario_5|road1|dto|rain_day|greedy,6.047,6.298,6.151,6.125,6.842,4.395,0_scenario_5,road1,dto,rain_day,greedy
0_scenario_6|road1|dto|rain_day|greedy,6.28,6.388,7.605,7.803,8.363,8.769,0_scenario_6,road1,dto,rain_day,greedy
0_scenario_7|road1|dto|rain_day|greedy,8.873,8.977,9.133,9.26,9.483,9.725,0_scenario_7,road1,dto,rain_day,greedy
0_scenario_8|road1|dto|rain_day|greedy,9.958,10.045,10.133,10.221,10.31,10.394,0_scenario_8,road1,dto,rain_day,greedy
0_scenario_9|road1|dto|rain_day|greedy,10.482,10.568,9.706,8.536,7.032,5.363,0_scenario_9,road1,dto,rain_day,greedy
10_scenario_0|road1|dto|rain_day|greedy,0.25,1.455,0.927,1.927,4.135,5.629,10_scenario_0,road1,dto,rain_day,greedy
10_scenario_1|road1|dto|rain_day|greedy,6.02,7.607,8.257,8.633,8.738,8.355,10_scenario_1,road1,dto,rain_day,greedy
10_scenario_10|road1|dto|rain_day|greedy,6.655,6.408,6.124,5.878,5.633,5.423,10_scenario_10,road1,dto,rain_day,greedy
10_scenario_11|road1|dto|rain_day|greedy,5.538,4.584,3.976,3.75,2.983,3.197,10_scenario_11,road1,dto,rain_day,greedy
10_scenario_12|road1|dto|rain_day|greedy,3.289,2.446,2.236,2.494,2.224,2.011,10_scenario_12,road1,dto,rain_day,greedy
10_scenario_13|road1|dto|rain_day|greedy,1.869,1.581,1.351,1.49,1.649,1.427,10_scenario_13,road1,dto,rain_day,greedy
10_scenario_14|road1|dto|rain_day|greedy,1.284,1.013,0.78,0.946,1.094,0.877,10_scenario_14,road1,dto,rain_day,greedy
10_scenario_2|road1|dto|rain_day|greedy,7.777,6.696,7.047,7.492,7.902,8.017,10_scenario_2,road1,dto,rain_day,greedy
10_scenario_3|road1|dto|rain_day|greedy,8.244,7.443,7.473,7.22,7.078,6.8,10_scenario_3,road1,dto,rain_day,greedy
10_scenario_4|road1|dto|rain_day|greedy,6.526,7.038,6.54,4.191,5.451,6.865,10_scenario_4,road1,dto,rain_day,greedy
10_scenario_5|road1|dto|rain_day|greedy,7.051,7.182,7.86,8.047,8.846,8.956,10_scenario_5,road1,dto,rain_day,greedy
10_scenario_6|road1|dto|rain_day|greedy,9.07,9.169,9.378,9.629,9.888,9.976,10_scenario_6,road1,dto,rain_day,greedy
10_scenario_7|road1|dto|rain_day|greedy,10.064,10.151,10.238,10.324,10.41,10.493,10_scenario_7,road1,dto,rain_day,greedy
10_scenario_8|road1|dto|rain_day|greedy,10.578,9.619,8.57,7.293,6.535,4.868,10_scenario_8,road1,dto,rain_day,greedy
10_scenario_9|road1|dto|rain_day|greedy,3.382,2.473,1.749,3.375,4.446,6.282,10_scenario_9,road1,dto,rain_day,greedy
11_scenario_0|road1|dto|rain_day|greedy,0.253,1.509,3.863,5.334,6.345,8.09,11_scenario_0,road1,dto,rain_day,greedy
11_scenario_1|road1|dto|rain_day|greedy,8.517,9.068,9.175,9.391,9.654,9.946,11_scenario_1,road1,dto,rain_day,greedy
11_scenario_10|road1|dto|rain_day|greedy,3.166,0.437,2.386,4.251,6.231,6.366,11_scenario_10,road1,dto,rain_day,greedy
11_scenario_11|road1|dto|rain_day|greedy,5.203,4.179,4.257,3.246,3.448,3.439,11_scenario_11,road1,dto,rain_day,greedy
11_scenario_12|road1|dto|rain_day|greedy,3.636,2.659,1.594,2.799,1.915,1.39,11_scenario_12,road1,dto,rain_day,greedy
11_scenario_13|road1|dto|rain_day|greedy,0.966,2.392,2.276,2.311,1.86,1.619,11_scenario_13,road1,dto,rain_day,greedy
11_scenario_14|road1|dto|rain_day|greedy,1.584,1.475,1.239,1.116,1.258,1.396,11_scenario_14,road1,dto,rain_day,greedy
11_scenario_15|road1|dto|rain_day|greedy,1.377,1.111,0.823,0.001,0.991,0.832,11_scenario_15,road1,dto,rain_day,greedy
11_scenario_2|road1|dto|rain_day|greedy,10.038,10.126,10.216,10.302,10.392,8.751,11_scenario_2,road1,dto,rain_day,greedy
11_scenario_3|road1|dto|rain_day|greedy,7.923,7.331,6.4,5.706,5.91,5.828,11_scenario_3,road1,dto,rain_day,greedy
11_scenario_4|road1|dto|rain_day|greedy,5.681,6.739,8.088,9.208,9.46,9.707,11_scenario_4,road1,dto,rain_day,greedy
11_scenario_5|road1|dto|rain_day|greedy,10.026,10.112,10.201,10.289,7.754,6.199,11_scenario_5,road1,dto,rain_day,greedy
11_scenario_6|road1|dto|rain_day|greedy,5.265,5.32,5.224,5.323,5.551,5.648,11_scenario_6,road1,dto,rain_day,greedy
11_scenario_7|road1|dto|rain_day|greedy,6.734,7.143,4.687,6.239,7.58,6.898,11_scenario_7,road1,dto,rain_day,greedy
11_scenario_8|road1|dto|rain_day|greedy,6.468,5.512,4.718,4.794,6.062,6.438,11_scenario_8,road1,dto,rain_day,greedy
11_scenario_9|road1|dto|rain_day|greedy,6.745,7.047,7.523,7.649,6.271,5.29,11_scenario_9,road1,dto,rain_day,greedy
12_scenario_0|road1|dto|rain_day|greedy,0.255,1.481,3.826,5.644,6.897,7.752,12_scenario_0,road1,dto,rain_day,greedy
12_scenario_1|road1|dto|rain_day|greedy,8.927,9.034,9.139,9.276,9.534,7.863,12_scenario_1,road1,dto,rain_day,greedy
12_scenario_10|road1|dto|rain_day|greedy,7.775,6.825,6.467,6.193,6.331,5.695,12_scenario_10,road1,dto,rain_day,greedy
12_scenario_11|road1|dto|rain_day|greedy,5.201,4.586,4.817,3.851,3.357,3.45,12_scenario_11,road1,dto,rain_day,greedy
12_scenario_12|road1|dto|rain_day|greedy,3.622,2.947,2.546,2.319,2.559,2.33,12_scenario_12,road1,dto,rain_day,greedy
12_scenario_13|road1|dto|rain_day|greedy,2.109,1.864,1.616,1.761,2.276,1.668,12_scenario_13,road1,dto,rain_day,greedy
12_scenario_14|road1|dto|rain_day|greedy,1.43,1.185,1.01,1.149,0.957,1.241,12_scenario_14,road1,dto,rain_day,greedy
12_scenario_15|road1|dto|rain_day|greedy,1.043,0.807,0.001,1.7,1.327,0.966,12_scenario_15,road1,dto,rain_day,greedy
12_scenario_2|road1|dto|rain_day|greedy,7.12,5.752,5.852,6.858,7.183,7.487,12_scenario_2,road1,dto,rain_day,greedy
12_scenario_3|road1|dto|rain_day|greedy,7.622,7.052,6.75,6.459,6.418,6.141,12_scenario_3,road1,dto,rain_day,greedy
12_scenario_4|road1|dto|rain_day|greedy,5.98,7.452,4.988,4.733,5.906,6.172,12_scenario_4,road1,dto,rain_day,greedy
12_scenario_5|road1|dto|rain_day|greedy,6.524,6.654,4.695,3.826,3.974,5.661,12_scenario_5,road1,dto,rain_day,greedy
12_scenario_6|road1|dto|rain_day|greedy,7.066,8.017,8.172,7.793,6.982,6.614,12_scenario_6,road1,dto,rain_day,greedy
12_scenario_7|road1|dto|rain_day|greedy,6.117,5.174,7.423,7.596,7.795,8.168,12_scenario_7,road1,dto,rain_day,greedy
12_scenario_8|road1|dto|rain_day|greedy,8.467,8.353,8.461,8.234,7.244,7.295,12_scenario_8,road1,dto,rain_day,greedy
12_scenario_9|road1|dto|rain_day|greedy,7.26,7.38,8.301,8.428,9.424,7.308,12_scenario_9,road1,dto,rain_day,greedy
13_scenario_0|road1|dto|rain_day|greedy,0.254,1.442,3.687,5.628,6.842,7.842,13_scenario_0,road1,dto,rain_day,greedy
13_scenario_1|road1|dto|rain_day|greedy,8.123,8.376,8.789,8.976,9.137,9.257,13_scenario_1,road1,dto,rain_day,greedy
13_scenario_10|road1|dto|rain_day|greedy,5.648,4.588,3.363,0.591,0.001,0.0,13_scenario_10,road1,dto,rain_day,greedy
13_scenario_11|road1|dto|rain_day|greedy,1.609,2.147,2.495,2.019,1.82,1.997,13_scenario_11,road1,dto,rain_day,greedy
13_scenario_12|road1|dto|rain_day|greedy,1.769,1.458,1.222,2.207,1.43,1.165,13_scenario_12,road1,dto,rain_day,greedy
13_scenario_13|road1|dto|rain_day|greedy,0.92,0.001,1.514,1.278,0.002,0.801,13_scenario_13,road1,dto,rain_day,greedy
13_scenario_2|road1|dto|rain_day|greedy,9.515,9.78,9.962,8.198,8.233,7.848,13_scenario_2,road1,dto,rain_day,greedy
13_scenario_3|road1|dto|rain_day|greedy,6.875,6.539,6.24,5.964,5.863,6.114,13_scenario_3,road1,dto,rain_day,greedy
13_scenario_4|road1|dto|rain_day|greedy,5.978,4.882,6.491,7.593,8.288,9.316,13_scenario_4,road1,dto,rain_day,greedy
13_scenario_5|road1|dto|rain_day|greedy,9.559,9.791,10.005,10.093,10.179,10.266,13_scenario_5,road1,dto,rain_day,greedy
13_scenario_6|road1|dto|rain_day|greedy,10.351,10.436,10.518,10.601,10.685,10.767,13_scenario_6,road1,dto,rain_day,greedy
13_scenario_7|road1|dto|rain_day|greedy,10.847,9.796,8.697,8.863,8.969,9.108,13_scenario_7,road1,dto,rain_day,greedy
13_scenario_8|road1|dto|rain_day|greedy,9.164,7.389,8.193,9.24,6.954,7.562,13_scenario_8,road1,dto,rain_day,greedy
13_scenario_9|road1|dto|rain_day|greedy,6.73,5.763,5.48,5.519,5.338,4.882,13_scenario_9,road1,dto,rain_day,greedy
14_scenario_0|road1|dto|rain_day|greedy,0.25,1.484,3.692,5.01,6.018,7.326,14_scenario_0,road1,dto,rain_day,greedy
14_scenario_1|road1|dto|rain_day|greedy,8.274,8.419,7.692,7.034,6.737,6.573,14_scenario_1,road1,dto,rain_day,greedy
14_scenario_10|road1|dto|rain_day|greedy,6.037,5.201,5.964,5.077,4.105,4.469,14_scenario_10,road1,dto,rain_day,greedy
14_scenario_11|road1|dto|rain_day|greedy,4.215,3.631,3.17,3.243,3.116,2.893,14_scenario_11,road1,dto,rain_day,greedy
14_scenario_12|road1|dto|rain_day|greedy,2.571,2.102,3.068,2.179,1.701,1.895,14_scenario_12,road1,dto,rain_day,greedy
14_scenario_13|road1|dto|rain_day|greedy,2.091,1.591,1.339,1.133,1.273,2.277,14_scenario_13,road1,dto,rain_day,greedy
14_scenario_14|road1|dto|rain_day|greedy,1.418,1.064,0.803,0.006,1.489,1.195,14_scenario_14,road1,dto,rain_day,greedy
14_scenario_2|road1|dto|rain_day|greedy,6.529,5.674,5.791,6.828,6.996,7.141,14_scenario_2,road1,dto,rain_day,greedy
14_scenario_3|road1|dto|rain_day|greedy,7.269,6.462,6.591,6.718,6.855,6.753,14_scenario_3,road1,dto,rain_day,greedy
14_scenario_4|road1|dto|rain_day|greedy,6.463,6.59,5.899,5.912,6.06,4.116,14_scenario_4,road1,dto,rain_day,greedy
14_scenario_5|road1|dto|rain_day|greedy,5.745,4.721,4.83,6.3,6.629,7.445,14_scenario_5,road1,dto,rain_day,greedy
14_scenario_6|road1|dto|rain_day|greedy,8.101,8.333,8.72,8.816,8.917,9.02,14_scenario_6,road1,dto,rain_day,greedy
14_scenario_7|road1|dto|rain_day|greedy,9.123,9.224,9.483,9.733,10.034,10.123,14_scenario_7,road1,dto,rain_day,greedy
