speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.0801,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8383,50.0,0,3
3.369,2.404000000000001,0.284,0,12,0.5,22.9945,50.0,0,4
4.631,2.524,0.24,0,12,0.5,23.5735,50.0,0,5
5.987,2.7119999999999997,0.376,0,12,0.5,23.4766,50.0,0,6
7.332,2.6899999999999995,0.044,0,12,0.5,22.8237,17.47871036912231,0,7
8.691,2.7180000000000017,0.056,0,12,0.5,21.3681,7.339962901896122,0,8
10.089,2.7959999999999994,0.156,0,12,0.5,19.2197,4.4730264382796525,0,9
11.494,2.8099999999999987,0.028,0,12,0.5,16.3665,2.868095471751015,0,10
12.898,2.808,0.004,0,12,0.5,12.8235,1.8096951735817106,0,11
14.292,2.7880000000000003,0.04,0,12,0.5,8.6539,1.0377374328472757,0,12
15.627,2.6700000000000017,0.236,1,12,0.5,3.7965,0.3907954872977313,0,13
11.748,-7.758000000000003,20.856,1,12,0.5,0.2384,0.03350102582839156,1,14
7.298,-8.899999999999999,2.284,1,12,0.5,0.5334,50.0,1,15
3.3,-7.996,1.808,1,12,0.5,0.1476,0.1912908242612753,1,16
0.163,-6.274,3.444,1,12,0.5,0.2349,50.0,0,17
0.006,-0.314,11.92,1,12,0.5,2.561,50.0,0,18
0.0,-0.012,0.604,1,12,0.5,5.1198,50.0,0,19
0.0,0.0,0.024,0,12,0.5,7.7046,50.0,0,20
0.0,0.0,0.0,0,12,0.5,10.2867,50.0,0,21
0.0,0.0,0.0,1,12,0.5,12.8098,50.0,0,22
0.0,0.0,0.0,0,12,0.5,15.3518,50.0,0,23
0.0,0.0,0.0,0,12,0.5,17.8944,50.0,0,24
