speed,accelerations,jerks,predictions,dto,ttc,col,time,duration,interval
0.0,0.0,0.0,0.0,100.0,50.0,0,0,12,0.5
0.044,0.088,0.176,0.0,17.7322,0.10777120574513965,0,1,12,0.5
1.036,1.984,3.792,0.0,20.0303,50.0,0,2,12,0.5
2.167,2.2619999999999996,0.556,0.0,21.8885,50.0,0,3,12,0.5
3.369,2.404000000000001,0.284,0.0,23.1418,50.0,0,4,12,0.5
4.631,2.524,0.24,0.0,23.7232,50.0,0,5,12,0.5
5.987,2.7119999999999997,0.376,0.0,23.6261,50.0,0,6,12,0.5
7.333,2.692,0.04,0.0,22.9226,16.29182658137878,0,7,12,0.5
8.693,2.719999999999999,0.056,1.0,21.4663,7.370150381102801,0,8,12,0.5
4.858,-7.67,20.78,0.0,20.5837,11.660831633809199,0,9,12,0.5
0.893,-7.93,0.52,0.0,21.7803,50.0,0,10,12,0.5
0.001,-1.784,12.292,0.0,24.3346,50.0,0,11,12,0.5
0.0,-0.002,3.564,0.0,26.9517,50.0,0,12,12,0.5
0.0,0.0,0.004,0.0,29.5757,50.0,0,13,12,0.5
0.0,0.0,0.0,0.0,32.1396,50.0,0,14,12,0.5
0.0,0.0,0.0,0.0,34.7731,50.0,0,15,12,0.5
0.0,0.0,0.0,0.0,37.4146,50.0,0,16,12,0.5
0.0,0.0,0.0,0.0,40.0138,50.0,0,17,12,0.5
1.037,2.074,4.148,0.0,42.3618,50.0,0,18,12,0.5
2.168,2.2620000000000005,0.376,0.0,44.1633,50.0,0,19,12,0.5
3.37,2.404,0.284,0.0,45.3289,50.0,0,20,12,0.5
4.632,2.523999999999999,0.24,0.0,45.9761,50.0,0,21,12,0.5
5.988,2.7120000000000015,0.376,0.0,45.9796,50.0,0,22,12,0.5
7.334,2.6919999999999984,0.04,0.0,45.2569,31.310986578110036,0,23,12,0.5
8.694,2.7200000000000024,0.056,0.0,43.7946,14.974560623675043,0,24,12,0.5
