speed,accelerations,jerks,predictions,duration,interval,dto,ttc,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0
0.044,0.088,0.176,0,20,0.5,16.2608,50.0,1
1.035,1.9819999999999998,3.788,0,20,0.5,18.5806,50.0,2
2.166,2.262,0.56,0,20,0.5,21.2309,50.0,3
3.368,2.404,0.284,[0.],20,0.5,23.7014,50.0,4
4.63,2.524,0.24,[0.],20,0.5,25.6399,50.0,5
5.985,2.710000000000001,0.372,[0.],20,0.5,26.9912,50.0,6
7.334,2.6979999999999986,0.024,[0.],20,0.5,27.6823,50.0,7
8.691,2.714000000000002,0.032,[1.],20,0.5,27.6764,2345.457627118461,8
6.802,-3.7780000000000022,12.984,[0.],20,0.5,27.8015,50.0,9
4.735,-4.133999999999999,0.712,[0.],20,0.5,28.9126,50.0,10
2.731,-4.008000000000001,0.252,[1.],20,0.5,31.0838,50.0,11
0.743,-3.976,0.064,[0.],20,0.5,34.1913,50.0,12
0.001,-1.484,4.984,[0.],20,0.5,38.1505,50.0,13
0.0,-0.002,2.964,[0.],20,0.5,42.1521,50.0,14
0.0,0.0,0.004,[0.],20,0.5,100.0,50.0,15
0.0,0.0,0.0,[0.],20,0.5,100.0,50.0,16
0.0,0.0,0.0,[0.],20,0.5,55.8868,50.0,17
0.0,0.0,0.0,[0.],20,0.5,59.281,50.0,18
0.0,0.0,0.0,[0.],20,0.5,63.0912,50.0,19
0.0,0.0,0.0,[0.],20,0.5,66.8545,50.0,20
1.037,2.074,4.148,[0.],20,0.5,100.0,50.0,21
2.168,2.2620000000000005,0.376,[0.],20,0.5,73.9916,50.0,22
3.369,2.402,0.28,[0.],20,0.5,76.5208,50.0,23
4.631,2.524,0.244,[0.],20,0.5,78.4595,50.0,24
5.987,2.7119999999999997,0.376,[0.],20,0.5,79.7895,50.0,25
7.334,2.693999999999999,0.036,[0.],20,0.5,80.4664,50.0,26
8.692,2.716000000000001,0.044,[0.],20,0.5,80.4672,50.0,27
10.09,2.7959999999999994,0.16,[0.],20,0.5,79.8017,59.95619834710666,28
11.495,2.8099999999999987,0.028,[0.],20,0.5,78.4658,29.368141327943814,29
12.897,2.804000000000002,0.012,[0.],20,0.5,76.4867,19.32360668990953,30
14.291,2.7880000000000003,0.032,[0.],20,0.5,73.8047,13.759265473527206,31
15.624,2.6660000000000004,0.244,[0.],20,0.5,70.4689,10.562518736135287,32
16.617,1.9860000000000007,1.36,[0.],20,0.5,66.4639,8.297615480649167,33
17.567,1.8999999999999986,0.172,[0.],20,0.5,100.0,50.0,34
18.508,1.881999999999998,0.036,[1.],20,0.5,100.0,50.0,35
16.467,-4.082000000000001,11.928,[0.],20,0.5,51.6744,0.5346483023490655,36
14.318,-4.297999999999998,0.432,[0.],20,0.5,48.3631,7.302736085525332,37
12.203,-4.23,0.136,[0.],20,0.5,45.2304,7.219076196252435,38
10.116,-4.1739999999999995,0.112,[0.],20,0.5,43.3222,11.35158788386961,39
8.054,-4.123999999999999,0.1,[0.],20,0.5,42.5346,27.00266632808516,40
6.019,-4.07,0.108,[0.],20,0.5,43.2472,50.0,41
