speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0.0,12,0.5,20.0801,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,12,0.5,21.8383,50.0,0,3
3.369,2.404000000000001,0.284,0.0,12,0.5,23.0947,50.0,0,4
4.631,2.524,0.24,0.0,12,0.5,23.6732,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,12,0.5,23.5763,50.0,0,6
7.335,2.6959999999999997,0.032,1.0,12,0.5,22.8222,15.132077973743513,0,7
3.48,-7.71,20.812,0.0,12,0.5,22.7466,50.0,0,8
0.003,-6.954,1.512,0.0,12,0.5,24.6218,50.0,0,9
0.0,-0.006,13.896,0.0,12,0.5,27.2275,50.0,0,10
0.0,0.0,0.012,0.0,12,0.5,29.7841,50.0,0,11
0.0,0.0,0.0,0.0,12,0.5,32.4623,50.0,0,12
0.0,0.0,0.0,0.0,12,0.5,34.9938,50.0,0,13
0.0,0.0,0.0,0.0,12,0.5,37.6176,50.0,0,14
0.0,0.0,0.0,0.0,12,0.5,40.1755,50.0,0,15
0.0,0.0,0.0,0.0,12,0.5,42.7345,50.0,0,16
1.037,2.074,4.148,0.0,12,0.5,45.0835,50.0,0,17
2.168,2.2620000000000005,0.376,0.0,12,0.5,46.9358,50.0,0,18
3.37,2.404,0.284,0.0,12,0.5,100.0,50.0,0,19
4.632,2.523999999999999,0.24,0.0,12,0.5,100.0,50.0,0,20
5.988,2.7120000000000015,0.376,0.0,12,0.5,100.0,50.0,0,21
7.336,2.6959999999999997,0.032,0.0,12,0.5,47.936,0.4603564843269822,0,22
8.694,2.716000000000001,0.04,0.0,12,0.5,46.5138,16.352763324426984,0,23
10.092,2.7959999999999994,0.16,0.0,12,0.5,44.354,10.26808037781274,0,24
