speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,20,0.5,16.2608,0.09709192349580603,0,1
1.036,1.984,3.792,0,20,0.5,18.5799,50.0,0,2
2.167,2.2619999999999996,0.556,0,20,0.5,21.2299,50.0,0,3
3.369,2.404000000000001,0.284,0,20,0.5,23.6993,50.0,0,4
4.631,2.524,0.24,0,20,0.5,25.638,50.0,0,5
5.987,2.7119999999999997,0.376,0,20,0.5,26.9898,50.0,0,6
7.333,2.692,0.04,0,20,0.5,27.6801,50.0,0,7
8.692,2.718,0.052,0,20,0.5,27.674,50.0,0,8
10.089,2.7940000000000005,0.152,0,20,0.5,26.9674,19.082507783753236,0,9
11.493,2.808,0.028,0,20,0.5,25.5569,9.059517901453368,0,10
12.895,2.8039999999999985,0.008,0,20,0.5,23.4761,5.641123606305267,0,11
14.29,2.789999999999999,0.028,1,20,0.5,20.664,3.6741225418726255,0,12
12.317,-3.945999999999998,13.472,1,20,0.5,17.9839,3.3550800343270732,0,13
10.228,-4.178000000000001,0.464,1,20,0.5,16.3647,5.053328804347828,0,14
8.164,-4.128,0.1,1,20,0.5,15.7781,13.448772587794092,0,15
6.142,-4.043999999999999,0.168,1,20,0.5,14.9478,9.001445260749135,0,16
4.11,-4.064,0.04,1,20,0.5,14.4367,14.123165720993914,0,17
2.112,-3.9960000000000004,0.136,0,20,0.5,14.8847,50.0,0,18
0.001,-4.222,0.452,0,20,0.5,16.345,50.0,0,19
0.0,-0.002,8.44,0,20,0.5,18.3605,50.0,0,20
0.0,0.0,0.004,0,20,0.5,20.2931,50.0,0,21
1.037,2.074,4.148,0,20,0.5,22.0065,50.0,0,22
2.168,2.2620000000000005,0.376,0,20,0.5,23.27,50.0,0,23
3.37,2.404,0.284,0,20,0.5,23.8914,50.0,0,24
4.632,2.523999999999999,0.24,0,20,0.5,100.0,50.0,0,25
5.988,2.7120000000000015,0.376,0,20,0.5,100.0,50.0,0,26
7.336,2.6959999999999997,0.032,0,20,0.5,100.0,50.0,0,27
8.696,2.719999999999999,0.048,0,20,0.5,100.0,50.0,0,28
10.093,2.7940000000000005,0.148,0,20,0.5,100.0,50.0,0,29
11.498,2.8099999999999987,0.032,0,20,0.5,100.0,50.0,0,30
12.9,2.804000000000002,0.012,0,20,0.5,100.0,50.0,0,31
14.293,2.785999999999998,0.036,1,20,0.5,100.0,50.0,0,32
12.32,-3.945999999999998,13.464,1,20,0.5,100.0,50.0,0,33
10.23,-4.18,0.468,1,20,0.5,100.0,50.0,0,34
8.167,-4.126000000000001,0.108,1,20,0.5,100.0,50.0,0,35
6.084,-4.166,0.08,1,20,0.5,100.0,50.0,0,36
4.113,-3.9419999999999984,0.448,1,20,0.5,100.0,50.0,0,37
2.115,-3.9960000000000004,0.108,0,20,0.5,100.0,50.0,0,38
0.001,-4.228000000000001,0.464,0,20,0.5,100.0,50.0,0,39
0.0,-0.002,8.452,0,20,0.5,100.0,50.0,0,40
0.0,0.0,0.004,0,20,0.5,100.0,50.0,0,41
