speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.0801,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8383,50.0,0,3
3.369,2.404000000000001,0.284,0,12,0.5,22.9945,50.0,0,4
4.631,2.524,0.24,0,12,0.5,23.5735,50.0,0,5
5.986,2.709999999999999,0.372,0,12,0.5,23.5266,50.0,0,6
7.335,2.6980000000000004,0.024,0,12,0.5,22.7739,15.128138700677617,0,7
8.694,2.7180000000000017,0.04,0,12,0.5,21.315,7.305161422989925,0,8
10.091,2.793999999999997,0.152,0,12,0.5,19.2157,4.576692230743574,0,9
11.497,2.812000000000001,0.036,0,12,0.5,16.3613,2.8659788396861003,0,10
12.899,2.8039999999999985,0.016,0,12,0.5,12.9183,1.876023816439152,0,11
14.294,2.7900000000000027,0.028,1,12,0.5,8.7009,1.031547873097169,0,12
10.434,-7.720000000000002,21.02,1,12,0.5,5.0336,0.6862814604750087,0,13
6.406,-8.056,0.672,1,12,0.5,3.4197,1.0594522585042447,0,14
2.419,-7.973999999999999,0.164,1,12,0.5,3.7939,50.0,0,15
0.003,-4.832,6.284,1,12,0.5,6.0089,50.0,0,16
0.0,-0.006,9.652,1,12,0.5,8.5491,50.0,0,17
0.0,0.0,0.012,1,12,0.5,11.175,50.0,0,18
0.0,0.0,0.0,0,12,0.5,13.7161,50.0,0,19
0.0,0.0,0.0,0,12,0.5,16.2514,50.0,0,20
0.0,0.0,0.0,0,12,0.5,18.7983,50.0,0,21
1.036,2.072,4.144,0,12,0.5,21.1003,50.0,0,22
2.167,2.2619999999999996,0.38,0,12,0.5,22.8908,50.0,0,23
3.369,2.404000000000001,0.284,0,12,0.5,24.0406,50.0,0,24
