speed,accelerations,jerks,predictions,dto,ttc,col,time,duration,interval
0.0,0.0,0.0,0.0,100.0,50.0,0,0,12,0.5
0.044,0.088,0.176,0.0,17.7322,0.10777120574513965,0,1,12,0.5
1.036,1.984,3.792,0.0,20.0801,50.0,0,2,12,0.5
2.167,2.2619999999999996,0.556,0.0,21.8383,50.0,0,3,12,0.5
3.369,2.404000000000001,0.284,0.0,22.9945,50.0,0,4,12,0.5
4.631,2.524,0.24,0.0,23.5235,50.0,0,5,12,0.5
5.987,2.7119999999999997,0.376,0.0,23.4266,50.0,0,6,12,0.5
7.335,2.6959999999999997,0.032,0.0,22.6743,15.069985378173564,0,7,12,0.5
8.693,2.7159999999999993,0.04,0.0,21.2649,7.543954874414656,0,8,12,0.5
10.091,2.7959999999999994,0.16,0.0,19.1127,4.440270420964593,0,9,12,0.5
11.496,2.8100000000000023,0.028,0.0,16.2659,2.8568743852746925,0,10,12,0.5
12.9,2.808,0.004,0.0,12.7187,1.7927802210193964,0,11,12,0.5
14.294,2.7880000000000003,0.04,1.0,8.5398,1.0217760654717747,0,12,12,0.5
10.432,-7.724,21.024,1.0,4.9888,0.7024500140805409,0,13,12,0.5
6.405,-8.054,0.66,1.0,3.4735,1.146142678017554,0,14,12,0.5
2.415,-7.98,0.148,0.0,3.8492,50.0,0,15,12,0.5
0.003,-4.824,6.312,0.0,6.0151,50.0,0,16,12,0.5
0.0,-0.006,9.636,0.0,8.6025,50.0,0,17,12,0.5
0.0,0.0,0.012,0.0,11.1811,50.0,0,18,12,0.5
0.0,0.0,0.0,0.0,13.7222,50.0,0,19,12,0.5
0.0,0.0,0.0,0.0,16.3081,50.0,0,20,12,0.5
0.0,0.0,0.0,0.0,18.8545,50.0,0,21,12,0.5
1.037,2.074,4.148,0.0,21.1564,50.0,0,22,12,0.5
2.168,2.2620000000000005,0.376,0.0,22.8962,50.0,0,23,12,0.5
3.369,2.402,0.28,0.0,24.0457,50.0,0,24,12,0.5
