speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0.0,12,0.5,20.0801,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,12,0.5,21.8383,50.0,0,3
3.369,2.404000000000001,0.284,0.0,12,0.5,22.9945,50.0,0,4
4.631,2.524,0.24,0.0,12,0.5,23.5235,50.0,0,5
5.986,2.709999999999999,0.372,0.0,12,0.5,23.4766,50.0,0,6
7.335,2.6980000000000004,0.024,0.0,12,0.5,22.7244,15.105291145971776,0,7
8.694,2.7180000000000017,0.04,0.0,12,0.5,21.2646,7.283394985614479,0,8
10.092,2.7959999999999994,0.156,0.0,12,0.5,19.1119,4.439053281925018,0,9
11.497,2.8099999999999987,0.028,1.0,12,0.5,16.2646,2.856144417518354,0,10
7.651,-7.692,21.004,1.0,12,0.5,13.9896,3.0746373626373598,0,11
3.653,-7.9959999999999996,0.608,0.0,12,0.5,13.784,33.521400778210335,0,12
0.002,-7.3020000000000005,1.388,0.0,12,0.5,15.5484,50.0,0,13
0.001,-0.002,14.6,0.0,12,0.5,18.1114,50.0,0,14
0.0,-0.002,0.0,0.0,12,0.5,20.6684,50.0,0,15
0.0,0.0,0.004,0.0,12,0.5,23.2486,50.0,0,16
0.0,0.0,0.0,0.0,12,0.5,25.8153,50.0,0,17
0.0,0.0,0.0,0.0,12,0.5,28.4161,50.0,0,18
0.0,0.0,0.0,0.0,12,0.5,31.0658,50.0,0,19
1.037,2.074,4.148,0.0,12,0.5,33.3627,50.0,0,20
2.168,2.2620000000000005,0.376,0.0,12,0.5,35.1177,50.0,0,21
3.37,2.404,0.284,0.0,12,0.5,36.2615,50.0,0,22
4.632,2.523999999999999,0.24,0.0,12,0.5,36.9108,50.0,0,23
5.988,2.7120000000000015,0.376,0.0,12,0.5,36.8155,50.0,0,24
