speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,20,0.5,16.2608,0.09709192349580603,0,1
1.036,1.984,3.792,0,20,0.5,18.58,50.0,0,2
2.167,2.2619999999999996,0.556,0,20,0.5,21.23,50.0,0,3
3.369,2.404000000000001,0.284,0,20,0.5,23.7008,50.0,0,4
4.631,2.524,0.24,0,20,0.5,25.6379,50.0,0,5
5.987,2.7119999999999997,0.376,0,20,0.5,26.987,50.0,0,6
7.331,2.6880000000000006,0.048,0,20,0.5,27.6809,50.0,0,7
8.69,2.717999999999998,0.06,0,20,0.5,27.6755,50.0,0,8
10.088,2.7959999999999994,0.156,0,20,0.5,26.9697,19.105766506092376,0,9
11.492,2.8080000000000034,0.024,0,20,0.5,25.5596,9.063045174101129,0,10
12.895,2.8059999999999974,0.004,0,20,0.5,23.4725,5.623233194384554,0,11
14.288,2.7860000000000014,0.04,0,20,0.5,20.6676,3.684195514991622,0,12
15.624,2.6720000000000006,0.228,0,20,0.5,17.1824,2.4650522208194663,0,13
16.621,1.9939999999999962,1.356,1,20,0.5,13.1246,1.6172063679826498,0,14
14.604,-4.033999999999999,12.056,1,20,0.5,9.3049,1.2180145037568397,0,15
12.483,-4.241999999999997,0.416,1,20,0.5,5.3158,0.6662906419994485,0,16
10.393,-4.18,0.124,1,20,0.5,1.7218,0.2395381190873678,0,17
1.169,-18.448,28.536,1,20,0.5,0.4599,0.1822252159442111,1,18
0.002,-2.334,32.228,1,20,0.5,0.4196,5.205955334987593,0,19
0.0,-0.004,4.66,1,20,0.5,0.4205,50.0,0,20
0.0,0.0,0.008,1,20,0.5,0.4211,50.0,0,21
0.0,0.0,0.0,1,20,0.5,0.421,50.0,0,22
0.0,0.0,0.0,1,20,0.5,0.421,50.0,0,23
0.003,0.006,0.012,0,20,0.5,0.3317,1.857222844344905,1,24
0.001,-0.004,0.02,0,20,0.5,0.3308,50.0,0,25
0.0,-0.002,0.004,0,20,0.5,0.3308,50.0,0,26
0.001,0.002,0.008,0,20,0.5,0.3308,50.0,0,27
0.001,0.0,0.004,0,20,0.5,0.3309,50.0,0,28
0.001,0.0,0.0,0,20,0.5,0.3309,50.0,0,29
0.001,0.0,0.0,0,20,0.5,0.3309,50.0,0,30
0.001,0.0,0.0,0,20,0.5,0.3308,50.0,0,31
0.001,0.0,0.0,0,20,0.5,0.3308,50.0,0,32
0.0,-0.002,0.004,0,20,0.5,0.3308,50.0,0,33
0.0,0.0,0.004,0,20,0.5,0.3309,50.0,0,34
0.0,0.0,0.0,0,20,0.5,0.3308,50.0,0,35
0.002,0.004,0.008,0,20,0.5,0.3308,50.0,0,36
0.001,-0.002,0.012,0,20,0.5,0.3308,50.0,0,37
0.001,0.0,0.004,0,20,0.5,0.3309,50.0,0,38
0.001,0.0,0.0,0,20,0.5,0.3309,50.0,0,39
0.0,-0.002,0.004,0,20,0.5,0.3308,50.0,0,40
0.0,0.0,0.004,0,20,0.5,0.3308,50.0,0,41
