speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.0303,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8384,50.0,0,3
3.369,2.404000000000001,0.284,0,12,0.5,22.9938,50.0,0,4
4.631,2.524,0.24,0,12,0.5,23.5236,50.0,0,5
5.987,2.7119999999999997,0.376,0,12,0.5,23.4267,50.0,0,6
7.335,2.6959999999999997,0.032,0,12,0.5,22.6724,15.02876839453797,0,7
8.694,2.7180000000000017,0.044,0,12,0.5,21.2218,7.314835240590112,0,8
10.092,2.7959999999999994,0.156,0,12,0.5,19.1117,4.528624235818201,0,9
11.496,2.808,0.024,0,12,0.5,16.3613,2.9743491855730086,0,10
12.898,2.8039999999999985,0.008,0,12,0.5,12.9189,1.876437950267256,0,11
14.293,2.789999999999999,0.028,0,12,0.5,8.7029,1.032127609108159,0,12
15.63,2.674000000000003,0.232,1,12,0.5,3.7897,0.38566514695107057,0,13
11.75,-7.760000000000002,20.868,1,12,0.5,0.2346,0.03299485246547214,1,14
7.395,-8.71,1.9,1,12,0.5,0.5929,50.0,1,15
3.404,-7.981999999999999,1.456,1,12,0.5,0.1516,0.17176523906639476,1,16
0.113,-6.582,2.8,1,12,0.5,0.2882,50.0,0,17
0.003,-0.22,12.724,1,12,0.5,2.5271,50.0,0,18
0.0,-0.006,0.428,1,12,0.5,5.0454,50.0,0,19
0.0,0.0,0.012,1,12,0.5,7.5967,50.0,0,20
0.0,0.0,0.0,0,12,0.5,10.1535,50.0,0,21
0.0,0.0,0.0,1,12,0.5,12.6765,50.0,0,22
0.0,0.0,0.0,0,12,0.5,15.2364,50.0,0,23
0.0,0.0,0.0,0,12,0.5,17.7652,50.0,0,24
