speed,accelerations,jerks,predictions,dto,ttc,col,time,duration,interval
0.0,0.0,0.0,0.0,100.0,50.0,0,0,12,0.5
0.044,0.088,0.176,0.0,17.7322,0.10777120574513965,0,1,12,0.5
1.036,1.984,3.792,0.0,20.1298,50.0,0,2,12,0.5
2.167,2.2619999999999996,0.556,0.0,21.8885,50.0,0,3,12,0.5
3.368,2.402,0.28,0.0,23.0419,50.0,0,4,12,0.5
4.631,2.5260000000000007,0.248,0.0,23.5738,50.0,0,5,12,0.5
5.986,2.709999999999999,0.368,0.0,23.577,50.0,0,6,12,0.5
7.334,2.6959999999999997,0.028,0.0,22.8231,15.136689216076372,0,7,12,0.5
8.694,2.7200000000000024,0.048,1.0,21.3733,7.371120154504071,0,8,12,0.5
4.869,-7.650000000000002,20.74,0.0,20.482,11.489958487602363,0,9,12,0.5
0.88,-7.978,0.656,0.0,21.6279,50.0,0,10,12,0.5
0.001,-1.758,12.44,0.0,24.1345,50.0,0,11,12,0.5
0.0,-0.002,3.512,0.0,26.7496,50.0,0,12,12,0.5
0.0,0.0,0.004,0.0,29.2822,50.0,0,13,12,0.5
0.0,0.0,0.0,0.0,31.8912,50.0,0,14,12,0.5
0.0,0.0,0.0,0.0,34.4202,50.0,0,15,12,0.5
0.0,0.0,0.0,0.0,37.0649,50.0,0,16,12,0.5
0.0,0.0,0.0,0.0,39.7142,50.0,0,17,12,0.5
1.037,2.074,4.148,0.0,42.1126,50.0,0,18,12,0.5
2.168,2.2620000000000005,0.376,0.0,43.9643,50.0,0,19,12,0.5
3.37,2.404,0.284,0.0,45.1299,50.0,0,20,12,0.5
4.632,2.523999999999999,0.24,0.0,45.6768,50.0,0,21,12,0.5
5.988,2.7120000000000015,0.376,0.0,45.6283,50.0,0,22,12,0.5
7.333,2.6899999999999995,0.044,0.0,44.9576,33.51543163858637,0,23,12,0.5
8.691,2.716000000000001,0.052,0.0,43.599,16.045561607537138,0,24,12,0.5
