speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0.0,12,0.5,20.0801,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,12,0.5,21.8884,50.0,0,3
3.369,2.404000000000001,0.284,0.0,12,0.5,23.0446,50.0,0,4
4.631,2.524,0.24,0.0,12,0.5,23.5733,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,12,0.5,23.5264,50.0,0,6
7.333,2.692,0.04,1.0,12,0.5,22.8229,16.220966595593502,0,7
3.478,-7.71,20.804,0.0,12,0.5,22.7483,50.0,0,8
0.003,-6.95,1.52,0.0,12,0.5,24.5255,50.0,0,9
0.0,-0.006,13.888,0.0,12,0.5,27.1811,50.0,0,10
0.0,0.0,0.012,0.0,12,0.5,29.7868,50.0,0,11
0.0,0.0,0.0,0.0,12,0.5,32.3625,50.0,0,12
0.0,0.0,0.0,0.0,12,0.5,34.8966,50.0,0,13
0.0,0.0,0.0,0.0,12,0.5,37.4286,50.0,0,14
0.0,0.0,0.0,0.0,12,0.5,40.0276,50.0,0,15
0.0,0.0,0.0,0.0,12,0.5,42.7372,50.0,0,16
1.037,2.074,4.148,0.0,12,0.5,45.0354,50.0,0,17
2.168,2.2620000000000005,0.376,0.0,12,0.5,46.7857,50.0,0,18
3.37,2.404,0.284,0.0,12,0.5,100.0,50.0,0,19
4.632,2.523999999999999,0.24,0.0,12,0.5,100.0,50.0,0,20
5.988,2.7120000000000015,0.376,0.0,12,0.5,100.0,50.0,0,21
7.336,2.6959999999999997,0.032,0.0,12,0.5,47.7844,0.4575682363125196,0,22
8.695,2.718,0.044,0.0,12,0.5,46.3657,16.34091069288784,0,23
10.092,2.7940000000000005,0.152,1.0,12,0.5,44.2057,10.232800925925941,0,24
