speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.0303,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8384,50.0,0,3
3.369,2.404000000000001,0.284,0,12,0.5,23.0918,50.0,0,4
4.631,2.524,0.24,0,12,0.5,23.6234,50.0,0,5
5.987,2.7119999999999997,0.376,0,12,0.5,23.5264,50.0,0,6
7.335,2.6959999999999997,0.032,0,12,0.5,22.7722,15.096923892866668,0,7
8.695,2.7200000000000006,0.048,0,12,0.5,21.3136,7.306184012066362,0,8
10.092,2.7940000000000005,0.148,0,12,0.5,19.1623,4.453655928973173,0,9
11.496,2.808,0.028,0,12,0.5,16.4109,2.982281747474017,0,10
12.899,2.8059999999999974,0.004,0,12,0.5,12.9175,1.8488435335203521,0,11
14.292,2.7860000000000014,0.04,0,12,0.5,8.8017,1.0692574955051266,0,12
15.629,2.6739999999999995,0.224,1,12,0.5,3.8911,0.39619394778642114,0,13
11.748,-7.7620000000000005,20.872,1,12,0.5,0.222,0.03025265051374997,1,14
7.189,-9.117999999999999,2.712,1,12,0.5,0.5187,50.0,1,15
3.349,-7.68,2.876,1,12,0.5,0.5831,50.0,1,16
0.223,-6.252000000000001,2.856,1,12,0.5,0.2001,0.2612271540469974,0,17
0.002,-0.442,11.62,1,12,0.5,2.3235,50.0,0,18
0.0,-0.004,0.876,1,12,0.5,4.9464,50.0,0,19
0.0,0.0,0.008,1,12,0.5,7.4625,50.0,0,20
0.0,0.0,0.0,0,12,0.5,10.006,50.0,0,21
0.0,0.0,0.0,0,12,0.5,12.5282,50.0,0,22
1.037,2.074,4.148,0,12,0.5,14.8306,50.0,0,23
2.168,2.2620000000000005,0.376,0,12,0.5,16.5638,50.0,0,24
