speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,95.2476,10.020999915832013,0,1
1.251,2.4139999999999997,4.652,0,12,0.5,94.9564,50.0,0,2
2.636,2.7700000000000005,0.712,0,12,0.5,93.9988,49.080409356725184,0,3
4.119,2.9659999999999993,0.392,0,12,0.5,92.3375,27.79073617046896,0,4
5.721,3.2040000000000006,0.476,0,12,0.5,89.8997,18.43869472475175,0,5
7.351,3.26,0.112,0,12,0.5,87.2249,16.304938687004693,0,6
9.004,3.305999999999999,0.092,0,12,0.5,83.358,10.778401303369622,0,7
10.705,3.402000000000001,0.192,0,12,0.5,78.6218,8.30009290148218,0,8
12.415,3.419999999999998,0.036,0,12,0.5,73.2814,6.861040371507768,0,9
14.121,3.4120000000000026,0.016,0,12,0.5,100.0,50.0,0,10
15.764,3.285999999999998,0.252,0,12,0.5,100.0,50.0,0,11
17.002,2.475999999999999,1.62,0,12,0.5,100.0,50.0,0,12
18.182,2.3599999999999994,0.232,0,12,0.5,40.6355,0.34225420916541033,0,13
19.345,2.3260000000000005,0.068,1,12,0.5,31.3037,1.6772594783428703,0,14
15.441,-7.807999999999996,20.268,1,12,0.5,22.517,1.2813115276497433,0,15
11.348,-8.186,0.756,1,12,0.5,15.8592,1.1910240620024632,0,16
7.309,-8.078000000000001,0.216,1,12,0.5,11.2386,1.2161407609401378,0,17
3.314,-7.99,0.176,1,12,0.5,8.6269,1.6515870888693183,0,18
0.003,-6.622,2.736,0,12,0.5,7.9549,5.918824404761915,0,19
0.0,-0.006,13.232,0,12,0.5,7.9438,50.0,0,20
0.0,0.0,0.012,0,12,0.5,7.944,50.0,0,21
0.0,0.0,0.0,0,12,0.5,7.944,50.0,0,22
0.0,0.0,0.0,0,12,0.5,7.944,50.0,0,23
1.251,2.502,5.004,0,12,0.5,7.6582,13.397830650804757,0,24
