speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,20,0.5,6.306,0.03365210152197579,0,1
1.036,1.984,3.792,0,20,0.5,8.6238,50.0,0,2
2.167,2.2619999999999996,0.556,0,20,0.5,11.2717,50.0,0,3
3.369,2.404000000000001,0.284,0,20,0.5,13.7037,50.0,0,4
4.631,2.524,0.24,0,20,0.5,15.6734,50.0,0,5
5.987,2.7119999999999997,0.376,0,20,0.5,17.0034,50.0,0,6
7.335,2.6959999999999997,0.032,0,20,0.5,17.6805,50.0,0,7
8.695,2.7200000000000006,0.048,0,20,0.5,17.6727,50.0,0,8
10.092,2.7940000000000005,0.148,1,20,0.5,16.991,12.462226785976249,0,9
8.151,-3.8820000000000014,13.352,0,20,0.5,16.385,13.518976897689813,0,10
6.069,-4.164,0.564,0,20,0.5,16.8356,50.0,0,11
4.098,-3.942,0.444,0,20,0.5,18.2803,50.0,0,12
2.1,-3.9959999999999996,0.108,0,20,0.5,20.7482,50.0,0,13
0.001,-4.198,0.404,0,20,0.5,24.2196,50.0,0,14
0.0,-0.002,8.392,0,20,0.5,28.2735,50.0,0,15
0.0,0.0,0.004,0,20,0.5,32.2144,50.0,0,16
0.0,0.0,0.0,0,20,0.5,36.2089,50.0,0,17
0.0,0.0,0.0,0,20,0.5,39.789,50.0,0,18
1.036,2.072,4.144,0,20,0.5,41.6898,50.0,0,19
2.167,2.2619999999999996,0.38,0,20,0.5,42.8876,50.0,0,20
3.369,2.404000000000001,0.284,0,20,0.5,43.5011,50.0,0,21
4.631,2.524,0.24,0,20,0.5,43.4971,50.0,0,22
5.987,2.7119999999999997,0.376,0,20,0.5,42.8512,33.171698405325664,0,23
7.335,2.6959999999999997,0.032,0,20,0.5,41.5164,15.55154330236738,0,24
8.695,2.7200000000000006,0.048,0,20,0.5,39.3903,9.263510653308902,0,25
10.092,2.7940000000000005,0.148,0,20,0.5,36.805,7.118129424051357,0,26
11.498,2.8119999999999976,0.036,0,20,0.5,100.0,50.0,0,27
12.901,2.806000000000001,0.012,0,20,0.5,100.0,50.0,0,28
14.296,2.789999999999999,0.032,0,20,0.5,100.0,50.0,0,29
15.633,2.6739999999999995,0.232,0,20,0.5,100.0,50.0,0,30
16.631,1.9960000000000022,1.356,0,20,0.5,100.0,50.0,0,31
17.584,1.9059999999999988,0.18,0,20,0.5,100.0,50.0,0,32
18.524,1.8800000000000026,0.052,0,20,0.5,100.0,50.0,0,33
19.187,1.3260000000000005,1.108,0,20,0.5,100.0,50.0,0,34
19.698,1.0219999999999985,0.608,0,20,0.5,100.0,50.0,0,35
20.2,1.0039999999999978,0.036,0,20,0.5,100.0,50.0,0,36
20.697,0.9939999999999998,0.02,0,20,0.5,100.0,50.0,0,37
21.188,0.9819999999999993,0.024,0,20,0.5,100.0,50.0,0,38
21.671,0.9660000000000011,0.032,0,20,0.5,100.0,50.0,0,39
22.148,0.9540000000000006,0.024,0,20,0.5,100.0,50.0,0,40
22.617,0.9380000000000024,0.032,0,20,0.5,100.0,50.0,0,41
