speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,6.6391,0.035556105393157095,0,1
0.0,-0.088,0.352,0,12,0.5,9.9839,50.0,0,2
1.886,3.772,7.72,0,12,0.5,14.0359,50.0,0,3
4.326,4.879999999999999,2.216,0,12,0.5,17.3836,50.0,0,4
7.038,5.424000000000001,1.088,0,12,0.5,19.5205,50.0,0,5
9.844,5.611999999999998,0.376,0,12,0.5,20.3029,50.0,0,6
12.75,5.812000000000001,0.4,1,12,0.5,19.2927,9.548950702831112,0,7
15.67,5.84,0.056,1,12,0.5,14.8389,1.6658695945035704,0,8
18.56,5.779999999999998,0.12,1,12,0.5,8.8026,0.729138710799662,0,9
21.397,5.6739999999999995,0.212,1,12,0.5,1.4339,0.09729667376877875,0,10
2.238,-38.318,87.984,0,12,0.5,2.2419,50.0,1,11
0.924,-2.628,71.38,0,12,0.5,3.3932,50.0,0,12
0.36,-1.1280000000000001,3.0,0,12,0.5,3.855,50.0,0,13
2.27,3.8200000000000003,9.896,0,12,0.5,3.5109,5.101569311246729,0,14
4.301,4.062,0.484,1,12,0.5,2.2437,0.8852982954545455,0,15
3.63,-1.3420000000000005,10.808,1,12,0.5,0.3248,0.08463182031372139,1,16
4.685,2.1099999999999994,6.904,1,12,0.5,0.3272,50.0,0,17
5.058,0.7460000000000004,2.728,0,12,0.5,0.3275,50.0,0,18
5.141,0.16600000000000037,1.16,0,12,0.5,0.34,50.0,0,19
5.019,-0.24399999999999977,0.82,0,12,0.5,0.355,50.0,0,20
4.985,-0.06799999999999962,0.352,0,12,0.5,0.3622,50.0,0,21
4.937,-0.09600000000000009,0.056,1,12,0.5,0.3768,50.0,0,22
4.89,-0.0940000000000012,0.004,1,12,0.5,0.3937,50.0,0,23
4.843,-0.09399999999999942,0.0,1,12,0.5,0.4062,50.0,0,24
