speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.1298,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8885,50.0,0,3
3.368,2.402,0.28,0,12,0.5,23.0919,50.0,0,4
4.631,2.5260000000000007,0.248,0,12,0.5,23.6237,50.0,0,5
5.986,2.709999999999999,0.368,0,12,0.5,23.6268,50.0,0,6
7.331,2.6900000000000013,0.04,0,12,0.5,22.9743,17.6048275862069,0,7
8.691,2.7200000000000006,0.06,0,12,0.5,21.5191,7.393863386476097,0,8
10.089,2.7959999999999994,0.152,0,12,0.5,19.3688,4.503743663674833,0,9
11.494,2.8099999999999987,0.028,0,12,0.5,16.5188,2.8980350877192964,0,10
12.898,2.808,0.004,0,12,0.5,12.9753,1.8308593198814742,0,11
14.291,2.7860000000000014,0.044,0,12,0.5,8.8603,1.0765856622114216,0,12
15.626,2.669999999999998,0.232,0,12,0.5,4.0131,0.41396063706882313,0,13
16.087,0.9220000000000006,3.496,1,12,0.5,0.116,0.014882861615047089,1,14
13.782,-4.609999999999999,11.064,0,12,0.5,15.6309,50.0,1,15
11.699,-4.166,0.888,1,12,0.5,100.0,50.0,0,16
9.618,-4.161999999999999,0.008,1,12,0.5,100.0,50.0,0,17
7.562,-4.112,0.1,0,12,0.5,100.0,50.0,0,18
5.58,-3.9640000000000004,0.296,1,12,0.5,100.0,50.0,0,19
3.519,-4.122,0.316,0,12,0.5,47.7374,0.45670709073027366,0,20
1.525,-3.9880000000000004,0.268,0,12,0.5,100.0,50.0,0,21
0.002,-3.046,1.884,0,12,0.5,100.0,50.0,0,22
0.053,0.102,6.296,0,12,0.5,100.0,50.0,1,23
0.006,-0.094,0.392,0,12,0.5,100.0,50.0,1,24
