speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.1298,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8885,50.0,0,3
3.368,2.402,0.28,0,12,0.5,23.0419,50.0,0,4
4.631,2.5260000000000007,0.248,0,12,0.5,23.6237,50.0,0,5
5.986,2.709999999999999,0.368,0,12,0.5,23.627,50.0,0,6
7.331,2.6900000000000013,0.04,0,12,0.5,22.9744,17.602206558381866,0,7
8.688,2.7140000000000004,0.048,0,12,0.5,21.6719,8.319347408829184,0,8
10.085,2.7940000000000005,0.16,0,12,0.5,19.625,4.793834579119642,0,9
11.489,2.808,0.028,0,12,0.5,16.8776,3.0715585644609464,0,10
12.892,2.8059999999999974,0.004,0,12,0.5,13.3341,1.8814872301396914,0,11
14.288,2.7920000000000016,0.028,0,12,0.5,9.1105,1.0785230608959184,0,12
15.623,2.669999999999998,0.244,0,12,0.5,4.2573,0.4386075166900189,0,13
16.603,1.9600000000000044,1.42,1,12,0.5,0.2133,0.026372403560830864,1,14
12.242,-8.722000000000001,21.364,1,12,0.5,4.1584,50.0,1,15
10.179,-4.126000000000001,9.192,1,12,0.5,100.0,50.0,1,16
8.117,-4.123999999999999,0.004,1,12,0.5,100.0,50.0,0,17
6.083,-4.068000000000001,0.112,1,12,0.5,100.0,50.0,0,18
4.064,-4.038,0.06,1,12,0.5,100.0,50.0,0,19
2.066,-3.9960000000000004,0.084,1,12,0.5,100.0,50.0,0,20
0.059,-4.013999999999999,0.036,1,12,0.5,100.0,50.0,1,21
0.006,-0.106,7.816,1,12,0.5,100.0,50.0,1,22
0.138,0.264,0.74,1,12,0.5,0.1507,0.0007546372383181454,0,23
0.487,0.698,0.868,1,12,0.5,0.4361,50.0,0,24
