speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,17.7322,0.10777120574513965,0,1
1.036,1.984,3.792,0,12,0.5,20.0303,50.0,0,2
2.167,2.2619999999999996,0.556,0,12,0.5,21.8885,50.0,0,3
3.369,2.404000000000001,0.284,0,12,0.5,23.0424,50.0,0,4
4.631,2.524,0.24,0,12,0.5,23.6233,50.0,0,5
5.986,2.709999999999999,0.372,0,12,0.5,23.6763,50.0,0,6
7.33,2.6880000000000006,0.044,0,12,0.5,23.0742,19.161434977578473,0,7
8.69,2.719999999999999,0.064,0,12,0.5,21.6207,7.437461300309588,0,8
10.087,2.7940000000000005,0.148,0,12,0.5,19.5225,4.652201887332002,0,9
11.492,2.8100000000000023,0.032,0,12,0.5,16.6717,2.924038866283149,0,10
12.895,2.8059999999999974,0.008,0,12,0.5,13.178,1.8859661676732402,0,11
14.29,2.789999999999999,0.032,0,12,0.5,9.0077,1.079982255473227,0,12
15.626,2.6720000000000006,0.236,0,12,0.5,4.1012,0.41793539182716816,0,13
16.219,1.1860000000000035,2.972,1,12,0.5,0.2527,0.032830973106405086,1,14
13.791,-4.856000000000002,12.084,0,12,0.5,15.7234,50.0,1,15
11.677,-4.2280000000000015,1.256,0,12,0.5,100.0,50.0,1,16
9.597,-4.16,0.136,1,12,0.5,100.0,50.0,0,17
7.54,-4.113999999999999,0.092,0,12,0.5,100.0,50.0,0,18
5.473,-4.134,0.04,0,12,0.5,100.0,50.0,0,19
3.498,-3.9499999999999993,0.368,0,12,0.5,100.0,50.0,0,20
1.505,-3.9860000000000007,0.072,0,12,0.5,100.0,50.0,0,21
0.002,-3.006,1.96,0,12,0.5,100.0,50.0,0,22
0.0,-0.004,6.004,0,12,0.5,100.0,50.0,1,23
0.0,0.0,0.008,0,12,0.5,100.0,50.0,1,24
