speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,12,0.5,6.6391,0.035556105393157095,0,1
0.0,-0.088,0.352,0.0,12,0.5,9.9839,50.0,0,2
0.0,0.0,0.176,0.0,12,0.5,14.4771,50.0,0,3
0.0,0.0,0.0,0.0,12,0.5,19.3478,50.0,0,4
0.0,0.0,0.0,0.0,12,0.5,24.3167,50.0,0,5
0.0,0.0,0.0,0.0,12,0.5,29.3645,50.0,0,6
0.0,0.0,0.0,0.0,12,0.5,33.9931,50.0,0,7
1.313,2.626,5.252,0.0,12,0.5,100.0,50.0,0,8
3.617,4.6080000000000005,3.964,0.0,12,0.5,100.0,50.0,0,9
5.844,4.454000000000001,0.308,0.0,12,0.5,100.0,50.0,0,10
8.408,5.127999999999998,1.348,0.0,12,0.5,100.0,50.0,0,11
11.258,5.699999999999999,1.144,0.0,12,0.5,100.0,50.0,0,12
13.897,5.278000000000002,0.844,0.0,12,0.5,100.0,50.0,0,13
16.62,5.4460000000000015,0.336,0.0,12,0.5,100.0,50.0,0,14
19.195,5.149999999999999,0.592,0.0,12,0.5,100.0,50.0,0,15
21.351,4.311999999999998,1.676,0.0,12,0.5,100.0,50.0,0,16
23.361,4.020000000000003,0.584,0.0,12,0.5,100.0,50.0,0,17
19.348,-8.026000000000003,24.092,0.0,12,0.5,45.618,0.41942186752969735,0,18
15.202,-8.291999999999998,0.532,0.0,12,0.5,44.6692,23.539839797638983,0,19
11.113,-8.178,0.228,0.0,12,0.5,44.7034,50.0,0,20
7.075,-8.075999999999999,0.204,0.0,12,0.5,44.7741,50.0,0,21
3.083,-7.984,0.184,0.0,12,0.5,44.8322,50.0,0,22
0.004,-6.158,3.652,0.0,12,0.5,47.021,50.0,0,23
0.0,-0.008,12.3,0.0,12,0.5,100.0,50.0,0,24
