speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,95.2476,10.020999915832013,0,1
1.251,2.4139999999999997,4.652,0,12,0.5,94.9577,50.0,0,2
2.636,2.7700000000000005,0.712,0,12,0.5,93.9989,49.01903420942863,0,3
4.119,2.9659999999999993,0.392,0,12,0.5,92.3375,27.789063440471885,0,4
5.722,3.2060000000000013,0.48,0,12,0.5,89.8994,18.436364382100773,0,5
7.351,3.257999999999999,0.104,0,12,0.5,87.2316,16.348976684908916,0,6
9.005,3.3080000000000016,0.1,0,12,0.5,83.3635,10.775768465137928,0,7
10.705,3.3999999999999986,0.184,0,12,0.5,78.6214,8.289723961957769,0,8
12.414,3.4179999999999993,0.036,0,12,0.5,73.283,6.86376067735652,0,9
14.12,3.411999999999999,0.012,0,12,0.5,100.0,50.0,0,10
15.764,3.2880000000000003,0.248,0,12,0.5,100.0,50.0,0,11
17.002,2.475999999999999,1.624,0,12,0.5,100.0,50.0,0,12
18.182,2.3599999999999994,0.232,0,12,0.5,40.636,0.3422613031466883,0,13
19.346,2.328000000000003,0.064,0,12,0.5,31.3036,1.6771462860571764,0,14
20.426,2.1599999999999966,0.336,0,12,0.5,21.317,1.0672801554082472,0,15
21.097,1.3420000000000059,1.636,1,12,0.5,10.9686,0.5299659850798192,0,16
19.384,-3.426000000000002,9.536,1,12,0.5,0.9821,0.04917138136484254,0,17
0.036,-38.696,70.54,1,12,0.5,0.8628,3.6160938809723397,1,18
0.001,-0.06999999999999999,77.252,1,12,0.5,1.0759,50.0,0,19
0.0,-0.002,0.136,1,12,0.5,1.307,50.0,0,20
0.0,0.0,0.004,1,12,0.5,1.5325,50.0,0,21
0.0,0.0,0.0,1,12,0.5,1.766,50.0,0,22
0.0,0.0,0.0,0,12,0.5,1.9847,50.0,0,23
0.0,0.0,0.0,0,12,0.5,2.2241,50.0,0,24
