speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,12,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,12,0.5,95.2476,10.020999915832013,0,1
1.251,2.4139999999999997,4.652,0,12,0.5,94.9564,50.0,0,2
2.636,2.7700000000000005,0.712,0,12,0.5,93.9987,49.07523232745105,0,3
4.119,2.9659999999999993,0.392,0,12,0.5,92.3373,27.78900325027085,0,4
5.722,3.2060000000000013,0.48,0,12,0.5,89.8992,18.43632336655588,0,5
7.352,3.26,0.108,0,12,0.5,87.225,16.308615660758363,0,6
9.005,3.306000000000001,0.092,0,12,0.5,83.3574,10.776372944461693,0,7
10.705,3.3999999999999986,0.188,0,12,0.5,78.6208,8.299286407971971,0,8
12.415,3.419999999999998,0.04,0,12,0.5,73.28,6.860395446375073,0,9
14.12,3.41,0.02,0,12,0.5,100.0,50.0,0,10
15.761,3.282,0.256,0,12,0.5,100.0,50.0,0,11
16.989,2.456000000000003,1.652,0,12,0.5,100.0,50.0,0,12
18.169,2.3599999999999994,0.192,1,12,0.5,40.6487,0.34244153034558633,0,13
16.522,-3.294000000000004,11.308,1,12,0.5,31.9784,1.8441345743515225,0,14
14.764,-3.5159999999999982,0.444,1,12,0.5,24.1485,1.5420695028033558,0,15
13.032,-3.4639999999999986,0.104,1,12,0.5,17.2293,1.2450355532431494,0,16
11.325,-3.4140000000000015,0.1,1,12,0.5,11.174,0.9226627912737603,0,17
9.639,-3.372,0.084,1,12,0.5,5.964,0.5723608445297507,0,18
7.976,-3.3259999999999987,0.092,1,12,0.5,1.6818,0.19637102423987668,0,19
0.017,-15.918,25.184,1,12,0.5,0.3327,0.12330442517233711,1,20
0.001,-0.032,31.772,0,12,0.5,0.3276,32.11764705882357,0,21
0.0,-0.002,0.06,0,12,0.5,0.3266,50.0,0,22
0.002,0.004,0.012,0,12,0.5,0.3316,50.0,0,23
0.001,-0.002,0.012,0,12,0.5,0.3316,50.0,0,24
