speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,20,0.5,16.2608,0.09709192349580603,0,1
1.036,1.984,3.792,0,20,0.5,18.58,50.0,0,2
2.167,2.2619999999999996,0.556,0,20,0.5,21.23,50.0,0,3
3.369,2.404000000000001,0.284,0,20,0.5,23.6999,50.0,0,4
4.631,2.524,0.24,0,20,0.5,25.638,50.0,0,5
5.987,2.7119999999999997,0.376,0,20,0.5,26.989,50.0,0,6
7.331,2.6880000000000006,0.048,0,20,0.5,27.6814,50.0,0,7
8.688,2.7140000000000004,0.052,0,20,0.5,27.6771,50.0,0,8
10.085,2.7940000000000005,0.16,0,20,0.5,26.9726,19.14308019872251,0,9
11.488,2.8059999999999974,0.024,0,20,0.5,25.5644,9.076977702030955,0,10
12.89,2.804000000000002,0.004,0,20,0.5,23.4854,5.648244348244346,0,11
14.284,2.7880000000000003,0.032,0,20,0.5,20.6774,3.6818732193732195,0,12
15.618,2.6679999999999993,0.24,0,20,0.5,17.1949,2.468758076094761,0,13
16.616,1.9959999999999987,1.344,0,20,0.5,13.1402,1.6203664882728683,0,14
17.569,1.9059999999999988,0.18,1,20,0.5,8.6245,0.9549460770201739,0,15
15.544,-4.049999999999997,11.912,1,20,0.5,3.0925,0.2795101229211858,0,16
1.628,-27.832,47.564,1,20,0.5,1.2795,0.35286817429674583,1,17
0.006,-3.2439999999999998,49.176,1,20,0.5,1.8219,50.0,0,18
0.0,-0.012,6.464,1,20,0.5,2.0298,50.0,0,19
0.0,0.0,0.024,1,20,0.5,2.2377,50.0,0,20
0.0,0.0,0.0,1,20,0.5,2.4563,50.0,0,21
0.0,0.0,0.0,1,20,0.5,2.665,50.0,0,22
0.0,0.0,0.0,1,20,0.5,2.8714,50.0,0,23
0.0,0.0,0.0,1,20,0.5,3.0972,50.0,0,24
1.036,2.072,4.144,1,20,0.5,3.0487,31.429896907216648,0,25
2.167,2.2619999999999996,0.38,0,20,0.5,2.4682,2.125925925925925,0,26
3.369,2.404000000000001,0.284,0,20,0.5,1.3358,0.5898092546803251,0,27
2.57,-1.5980000000000008,8.004,1,20,0.5,0.3263,0.16161466072313024,1,28
0.626,-3.888,4.58,1,20,0.5,0.7419,50.0,0,29
0.001,-1.25,5.276,1,20,0.5,1.936,50.0,0,30
0.0,-0.002,2.496,1,20,0.5,3.1737,50.0,0,31
0.0,0.0,0.004,1,20,0.5,4.3883,50.0,0,32
0.0,0.0,0.0,1,20,0.5,5.6171,50.0,0,33
0.0,0.0,0.0,0,20,0.5,6.8241,50.0,0,34
0.0,0.0,0.0,0,20,0.5,8.0105,50.0,0,35
0.0,0.0,0.0,0,20,0.5,9.2268,50.0,0,36
0.0,0.0,0.0,0,20,0.5,10.3897,50.0,0,37
1.037,2.074,4.148,0,20,0.5,11.3406,50.0,0,38
2.168,2.2620000000000005,0.376,0,20,0.5,11.7037,50.0,0,39
3.37,2.404,0.284,0,20,0.5,11.4741,24.987151567944295,0,40
4.632,2.523999999999999,0.24,0,20,0.5,10.5844,5.948297178824326,0,41
