speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,20,0.5,6.306,0.03365210152197579,0,1
1.036,1.984,3.792,0.0,20,0.5,8.6237,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,20,0.5,11.2716,50.0,0,3
3.369,2.404000000000001,0.284,0.0,20,0.5,13.7036,50.0,0,4
4.631,2.524,0.24,0.0,20,0.5,15.6733,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,20,0.5,17.0033,50.0,0,6
7.333,2.692,0.04,0.0,20,0.5,17.6811,50.0,0,7
8.693,2.719999999999999,0.056,0.0,20,0.5,17.6742,50.0,0,8
10.09,2.7940000000000005,0.148,1.0,20,0.5,16.9935,12.482371088585316,0,9
8.149,-3.8820000000000014,13.352,0.0,20,0.5,16.3883,13.5395736946464,0,10
6.066,-4.165999999999999,0.568,0.0,20,0.5,16.8403,50.0,0,11
4.095,-3.942,0.448,0.0,20,0.5,18.2871,50.0,0,12
2.097,-3.9959999999999996,0.108,0.0,20,0.5,20.7496,50.0,0,13
0.001,-4.192,0.392,0.0,20,0.5,24.2299,50.0,0,14
0.0,-0.002,8.38,0.0,20,0.5,28.2837,50.0,0,15
0.0,0.0,0.004,0.0,20,0.5,32.2246,50.0,0,16
0.0,0.0,0.0,0.0,20,0.5,36.215,50.0,0,17
0.0,0.0,0.0,0.0,20,0.5,39.7994,50.0,0,18
1.037,2.074,4.148,0.0,20,0.5,41.6996,50.0,0,19
2.168,2.2620000000000005,0.376,0.0,20,0.5,42.897,50.0,0,20
3.37,2.404,0.284,0.0,20,0.5,43.5101,50.0,0,21
4.632,2.523999999999999,0.24,0.0,20,0.5,43.5056,50.0,0,22
5.988,2.7120000000000015,0.376,0.0,20,0.5,42.8582,33.100247142415576,0,23
7.336,2.6959999999999997,0.032,0.0,20,0.5,41.5182,15.491865671641834,0,24
8.695,2.718,0.044,0.0,20,0.5,39.4035,9.316569726202303,0,25
10.091,2.791999999999998,0.148,0.0,20,0.5,36.8033,7.077013306668715,0,26
11.497,2.812000000000001,0.04,0.0,20,0.5,100.0,50.0,0,27
12.9,2.806000000000001,0.012,0.0,20,0.5,100.0,50.0,0,28
14.296,2.791999999999998,0.028,0.0,20,0.5,100.0,50.0,0,29
15.632,2.6720000000000006,0.24,0.0,20,0.5,100.0,50.0,0,30
16.63,1.9959999999999987,1.352,0.0,20,0.5,100.0,50.0,0,31
17.583,1.9059999999999988,0.18,0.0,20,0.5,100.0,50.0,0,32
18.523,1.8800000000000026,0.052,0.0,20,0.5,100.0,50.0,0,33
19.177,1.3079999999999998,1.144,0.0,20,0.5,100.0,50.0,0,34
19.684,1.014000000000003,0.588,0.0,20,0.5,100.0,50.0,0,35
20.186,1.0039999999999978,0.02,0.0,20,0.5,100.0,50.0,0,36
20.682,0.9919999999999973,0.024,0.0,20,0.5,100.0,50.0,0,37
21.172,0.980000000000004,0.024,0.0,20,0.5,100.0,50.0,0,38
21.656,0.9679999999999964,0.024,0.0,20,0.5,100.0,50.0,0,39
22.133,0.9540000000000006,0.028,0.0,20,0.5,100.0,50.0,0,40
22.602,0.9380000000000024,0.032,0.0,20,0.5,100.0,50.0,0,41
