speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,20,0.5,6.306,0.03365210152197579,0,1
1.036,1.984,3.792,0.0,20,0.5,8.6238,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,20,0.5,11.2718,50.0,0,3
3.369,2.404000000000001,0.284,0.0,20,0.5,13.7038,50.0,0,4
4.631,2.524,0.24,0.0,20,0.5,15.6736,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,20,0.5,17.0037,50.0,0,6
7.335,2.6959999999999997,0.032,0.0,20,0.5,17.6809,50.0,0,7
8.694,2.7180000000000017,0.044,0.0,20,0.5,17.6731,50.0,0,8
10.092,2.7959999999999994,0.156,0.0,20,0.5,16.9917,12.468227179336662,0,9
11.496,2.808,0.024,0.0,20,0.5,15.585,5.539560673917677,0,10
12.9,2.808,0.0,1.0,20,0.5,13.4794,3.20084536474164,0,11
10.938,-3.9239999999999995,13.464,1.0,20,0.5,11.4991,2.903373226278847,0,12
8.867,-4.1419999999999995,0.436,0.0,20,0.5,10.5471,5.539443277310925,0,13
6.821,-4.092000000000002,0.1,0.0,20,0.5,10.6388,50.0,0,14
4.799,-4.043999999999999,0.096,0.0,20,0.5,11.7529,50.0,0,15
2.794,-4.010000000000001,0.068,0.0,20,0.5,13.8697,50.0,0,16
0.818,-3.952,0.116,0.0,20,0.5,16.9571,50.0,0,17
0.001,-1.634,4.636,0.0,20,0.5,20.4703,50.0,0,18
0.0,-0.002,3.264,0.0,20,0.5,22.6363,50.0,0,19
0.0,0.0,0.004,0.0,20,0.5,24.6286,50.0,0,20
1.037,2.074,4.148,0.0,20,0.5,26.3822,50.0,0,21
2.168,2.2620000000000005,0.376,0.0,20,0.5,27.5854,50.0,0,22
3.37,2.404,0.284,0.0,20,0.5,28.8488,50.0,0,23
4.632,2.523999999999999,0.24,0.0,20,0.5,28.8458,50.0,0,24
5.988,2.7120000000000015,0.376,0.0,20,0.5,27.4127,9.564126718302983,0,25
7.333,2.6899999999999995,0.044,0.0,20,0.5,26.2654,11.446613788895656,0,26
8.691,2.716000000000001,0.052,0.0,20,0.5,100.0,50.0,0,27
10.089,2.7959999999999994,0.16,0.0,20,0.5,100.0,50.0,0,28
11.494,2.8099999999999987,0.028,0.0,20,0.5,100.0,50.0,0,29
12.898,2.808,0.004,0.0,20,0.5,100.0,50.0,0,30
14.293,2.789999999999999,0.036,0.0,20,0.5,100.0,50.0,0,31
15.629,2.6720000000000006,0.236,0.0,20,0.5,100.0,50.0,0,32
16.622,1.9860000000000007,1.372,0.0,20,0.5,100.0,50.0,0,33
17.575,1.9059999999999988,0.16,0.0,20,0.5,100.0,50.0,0,34
18.516,1.881999999999998,0.048,0.0,20,0.5,100.0,50.0,0,35
19.179,1.3260000000000005,1.112,0.0,20,0.5,100.0,50.0,0,36
19.69,1.0220000000000056,0.608,0.0,20,0.5,100.0,50.0,0,37
20.194,1.0079999999999956,0.028,0.0,20,0.5,100.0,50.0,0,38
20.692,0.9960000000000022,0.024,0.0,20,0.5,100.0,50.0,0,39
21.182,0.9799999999999969,0.032,0.0,20,0.5,100.0,50.0,0,40
21.666,0.9680000000000035,0.024,0.0,20,0.5,100.0,50.0,0,41
