speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0.0,20,0.5,6.306,0.03365210152197579,0,1
1.036,1.984,3.792,0.0,20,0.5,8.6237,50.0,0,2
2.167,2.2619999999999996,0.556,0.0,20,0.5,11.2716,50.0,0,3
3.369,2.404000000000001,0.284,0.0,20,0.5,13.7036,50.0,0,4
4.631,2.524,0.24,0.0,20,0.5,15.6733,50.0,0,5
5.987,2.7119999999999997,0.376,0.0,20,0.5,17.0033,50.0,0,6
7.335,2.6959999999999997,0.032,0.0,20,0.5,17.6805,50.0,0,7
8.694,2.7180000000000017,0.044,0.0,20,0.5,17.6728,50.0,0,8
10.092,2.7959999999999994,0.156,1.0,20,0.5,16.9909,12.45849831353573,0,9
8.151,-3.8820000000000014,13.356,1.0,20,0.5,16.3852,13.525837873534782,0,10
6.165,-3.9719999999999995,0.18,0.0,20,0.5,16.8355,50.0,0,11
4.098,-4.134,0.324,0.0,20,0.5,18.2809,50.0,0,12
2.1,-3.9959999999999996,0.276,0.0,20,0.5,20.7445,50.0,0,13
0.001,-4.198,0.404,0.0,20,0.5,24.2211,50.0,0,14
0.0,-0.002,8.392,0.0,20,0.5,28.275,50.0,0,15
0.0,0.0,0.004,0.0,20,0.5,32.2159,50.0,0,16
0.0,0.0,0.0,0.0,20,0.5,36.2063,50.0,0,17
0.0,0.0,0.0,0.0,20,0.5,39.7905,50.0,0,18
1.037,2.074,4.148,0.0,20,0.5,41.6912,50.0,0,19
2.168,2.2620000000000005,0.376,0.0,20,0.5,42.8887,50.0,0,20
3.369,2.402,0.28,0.0,20,0.5,43.5021,50.0,0,21
4.632,2.525999999999999,0.248,0.0,20,0.5,43.4978,50.0,0,22
5.987,2.710000000000001,0.368,0.0,20,0.5,42.8514,33.146194306930695,0,23
7.335,2.6959999999999997,0.028,0.0,20,0.5,41.515,15.53240047889856,0,24
8.695,2.7200000000000006,0.048,1.0,20,0.5,39.3919,9.276977061843526,0,25
6.808,-3.774000000000001,12.988,0.0,20,0.5,37.5623,10.265167249672064,0,26
4.741,-4.134,0.72,0.0,20,0.5,100.0,50.0,0,27
2.738,-4.005999999999999,0.256,0.0,20,0.5,100.0,50.0,0,28
0.751,-3.974,0.064,0.0,20,0.5,100.0,50.0,0,29
0.001,-1.5,4.948,0.0,20,0.5,100.0,50.0,0,30
0.0,-0.002,2.996,0.0,20,0.5,100.0,50.0,0,31
0.0,0.0,0.004,0.0,20,0.5,100.0,50.0,0,32
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,33
0.0,0.0,0.0,0.0,20,0.5,100.0,50.0,0,34
1.037,2.074,4.148,0.0,20,0.5,100.0,50.0,0,35
2.168,2.2620000000000005,0.376,0.0,20,0.5,100.0,50.0,0,36
3.37,2.404,0.284,0.0,20,0.5,100.0,50.0,0,37
4.632,2.523999999999999,0.24,0.0,20,0.5,100.0,50.0,0,38
5.988,2.7120000000000015,0.376,0.0,20,0.5,100.0,50.0,0,39
7.336,2.6959999999999997,0.032,0.0,20,0.5,100.0,50.0,0,40
8.696,2.719999999999999,0.048,0.0,20,0.5,100.0,50.0,0,41
