speed,accelerations,jerks,predictions,duration,interval,dto,ttc,col,time
0.0,0.0,0.0,0,20,0.5,100.0,50.0,0,0
0.044,0.088,0.176,0,20,0.5,16.2608,0.09709192349580603,0,1
1.036,1.984,3.792,0,20,0.5,18.5799,50.0,0,2
2.167,2.2619999999999996,0.556,0,20,0.5,21.23,50.0,0,3
3.368,2.402,0.28,0,20,0.5,23.6994,50.0,0,4
4.631,2.5260000000000007,0.248,0,20,0.5,25.6383,50.0,0,5
5.986,2.709999999999999,0.368,0,20,0.5,26.9903,50.0,0,6
7.331,2.6900000000000013,0.04,0,20,0.5,27.6817,50.0,0,7
8.689,2.7159999999999993,0.052,0,20,0.5,27.6771,50.0,0,8
10.085,2.7920000000000016,0.152,0,20,0.5,26.9725,19.140292364462127,0,9
11.489,2.808,0.032,0,20,0.5,25.5639,9.074222632400966,0,10
12.893,2.808,0.0,0,20,0.5,23.4842,5.6460547194306905,0,11
14.288,2.789999999999999,0.036,0,20,0.5,20.6734,3.6774939518998147,0,12
15.622,2.6679999999999993,0.244,0,20,0.5,17.1889,2.4664801262734963,0,13
16.615,1.985999999999997,1.364,0,20,0.5,13.1341,1.6195743316563085,0,14
17.567,1.9040000000000035,0.164,1,20,0.5,8.6197,0.9546894382420698,0,15
15.542,-4.050000000000001,11.908,1,20,0.5,3.0885,0.27918896442001734,0,16
1.793,-27.498,46.896,1,20,0.5,1.3178,0.3721127237815554,1,17
0.006,-3.574,47.848,1,20,0.5,1.8476,50.0,0,18
0.0,-0.012,7.124,1,20,0.5,2.1201,50.0,0,19
0.0,0.0,0.024,1,20,0.5,2.3296,50.0,0,20
0.0,0.0,0.0,1,20,0.5,2.5667,50.0,0,21
0.0,0.0,0.0,1,20,0.5,2.7604,50.0,0,22
0.0,0.0,0.0,0,20,0.5,2.9842,50.0,0,23
0.0,0.0,0.0,0,20,0.5,3.2015,50.0,0,24
1.036,2.072,4.144,0,20,0.5,3.1695,49.52343750000065,0,25
2.167,2.2619999999999996,0.38,0,20,0.5,2.6076,2.3203416978109983,0,26
3.369,2.404000000000001,0.284,0,20,0.5,1.4717,0.6478123074214279,0,27
2.58,-1.5780000000000003,7.964,0,20,0.5,0.3243,0.14131950496775317,1,28
3.189,1.218,5.592,0,20,0.5,0.3274,50.0,0,29
3.813,1.2480000000000002,0.06,0,20,0.5,0.3278,50.0,0,30
4.449,1.2719999999999994,0.048,0,20,0.5,0.3278,50.0,0,31
5.103,1.3079999999999998,0.072,0,20,0.5,0.3279,50.0,0,32
5.792,1.3780000000000001,0.14,0,20,0.5,0.3277,50.0,0,33
6.454,1.3239999999999998,0.108,0,20,0.5,0.3278,50.0,0,34
7.119,1.33,0.012,0,20,0.5,0.3278,50.0,0,35
7.776,1.314,0.032,0,20,0.5,0.3278,50.0,0,36
8.45,1.347999999999999,0.068,0,20,0.5,0.3278,50.0,0,37
9.127,1.3540000000000028,0.012,0,20,0.5,0.3279,50.0,0,38
9.804,1.3539999999999992,0.0,0,20,0.5,0.3276,50.0,0,39
10.48,1.3520000000000003,0.004,0,20,0.5,0.327,50.0,0,40
11.153,1.346,0.012,1,20,0.5,0.3253,50.0,0,41
